,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decile,decuc,dip14cj,dip14pr,htl,ident_men,mchof,mchof_d,mfac_eau1_d,mfac_eg1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_4511,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,typmen,zeat,part_energies_revtot
7066,2,58.0,2,0.0,1,111,1,0,34,8,10.0,0,10,2,5476,,,240.0,,370.0,1.0,2.0,3.0,0.0,1.0,2356.190857163477,660.0,0.0,0.0,0.0,47168.0,0,1,100.0,9,7.0,1,8,0.013992537313432836
7067,1,41.0,4,240.0,99,111,2,37,55,4,3.0,30,42,1,5477,,,280.0,,,2.0,3.0,6.0,1.0,1.8,1817.1167964567867,1002.0,0.0,0.0,0.0,25194.0,4,1,79.0,8,7.0,4,3,0.03977137413669921
7068,2,30.0,3,0.0,9,111,4,0,42,5,8.0,0,20,2,5478,,,,,585.0,1.0,0.0,2.0,0.0,1.0,3139.889498424651,588.0,0.0,0.0,0.0,27760.0,0,1,40.0,10,8.0,1,1,0.021181556195965418
7069,1,31.0,3,259.0,5,111,2,0,55,1,1.0,0,42,2,5479,,,,,132.0,1.0,0.0,1.0,0.0,1.0,3348.189634263255,192.0,0.0,42.0,0.0,8076.0,0,4,35.0,9,7.0,1,8,0.02897473997028232
7070,1,44.0,3,80.0,5,300,5,62,56,2,1.0,50,50,1,548,,,140.0,,,2.0,2.0,4.0,2.0,2.3,857.8819811507576,1200.0,0.0,0.0,800.0,16230.0,4,1,120.0,0,0.0,4,3,0.12322858903265557
7071,1,20.0,3,120.0,8,111,4,0,81,1,1.0,0,60,2,5480,,,,,250.0,2.0,0.0,1.0,0.0,1.5,4085.9782780740034,360.0,0.0,0.0,0.0,1440.0,0,4,25.0,9,7.0,5,7,0.25
7072,2,44.0,2,0.0,1,221,2,0,56,3,3.0,0,50,1,5481,,,402.0,,,1.0,1.0,7.0,1.0,1.5,3418.5908374634037,713.0,0.0,250.0,0.0,20506.0,0,1,180.0,1,1.0,2,9,0.04696186482005267
7073,2,51.0,5,0.0,8,111,2,0,45,6,6.0,0,50,2,5482,,,,,610.0,1.0,0.0,3.0,1.0,1.5,2049.9588159256505,278.0,0.0,457.0,0.0,32285.0,0,1,69.0,8,7.0,2,4,0.022765990398017657
7074,2,43.0,1,0.0,8,111,4,37,37,10,10.0,12,10,2,5483,,,,,,2.0,0.0,5.0,2.0,2.3,3156.471078523055,1660.0,0.0,0.0,0.0,171568.0,1,1,125.0,10,8.0,4,1,0.009675463955982467
7075,2,74.0,3,0.0,6,112,4,0,75,5,8.0,0,41,1,5484,,,500.0,,,0.0,0.0,6.0,0.0,1.0,3442.928470621145,1600.0,0.0,0.0,0.0,26257.0,0,5,207.0,10,2.0,1,2,0.06093613131736299
7076,2,80.0,2,0.0,1,111,2,75,74,10,10.0,42,31,1,5486,,,100.0,,,0.0,2.0,6.0,0.0,1.5,2481.8020203205056,350.0,528.0,1300.0,0.0,69334.0,5,5,130.0,10,8.0,3,1,0.023797848097614448
7077,2,57.0,3,0.0,7,111,1,0,48,6,9.0,0,50,2,5487,,,,,550.0,1.0,2.0,2.0,0.0,1.0,5486.9739379317425,250.0,0.0,0.0,0.0,31464.0,0,1,55.0,10,8.0,1,1,0.00794558860920417
7078,2,61.0,3,0.0,1,400,5,74,77,6,7.0,60,44,1,549,,,,,,0.0,3.0,4.0,0.0,1.5,2401.416767724515,690.0,0.0,0.0,700.0,32872.0,5,5,96.0,0,0.0,3,7,0.042285227549282066
7079,1,59.0,4,237.0,1,111,2,0,85,2,3.0,0,70,2,5491,,,100.0,,,0.0,3.0,3.0,0.0,1.0,2776.6480749293582,200.0,0.0,0.0,0.0,13626.0,0,7,45.0,7,5.0,1,5,0.014677821811243212
