,aba,agepr,amr,ancons,cataeu,coml13,coml3,cs42cj,cs42pr,dip14pr,gchauf_1,gchauf_2,gchauf_3,gchauf_4,gchauf_5,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,gmoy1,gmur,gtoit2,gtt1,gvit1,gvit1b,htl,iaat,idlog,mchof_d,mdiplo,mdiploc,mfac_eau1_d,mloy_d,mtyad,nactifs,nbh1,nbphab,nenfants,ocde10,pondmen,poste_coicop_451,poste_coicop_452,poste_coicop_453,revtot,situacj,situapr,surfhab_d,tau,tuu,zeat,part_energies_revenu
5806,2,60.0,0.0,6,111,0.0,0.0,78,54,60,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,10.0,1,2,1,8,113419,,3,4,1200.0,,400,1.0,2.0,4.0,0.0,1.5,232.086348265,800.0,800.0,0.0,27427.0,5,1,100.0,7,5,2,0.0583366755387
5807,1,47.0,189.0,2,111,0.0,0.0,0,68,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,2,2,4,131053,478.0,1,0,0.0,390.0,120,1.0,2.0,2.0,0.0,1.0,655.305397774,0.0,0.0,0.0,11149.0,0,1,42.0,7,5,2,0.0
5808,2,40.0,0.0,1,111,0.0,0.0,56,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,2,125698,,1,1,780.0,,402,2.0,0.0,5.0,2.0,2.3,227.65330705,1800.0,0.0,0.0,21878.0,1,1,160.0,7,5,2,0.0822744309352
5809,2,62.0,0.0,1,111,0.0,0.0,0,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,3,126910,,2,0,161.0,,110,0.0,0.0,3.0,0.0,1.0,1464.39328746,0.0,0.0,0.0,13172.0,0,5,60.0,7,5,2,0.0
5810,1,44.0,406.0,7,111,0.0,0.0,55,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,9,120949,,4,2,960.0,465.0,403,4.0,1.0,6.0,3.0,3.6,217.527593482,2900.0,2300.0,0.0,22000.0,4,4,100.0,7,5,2,0.236363636364
5811,2,59.0,0.0,1,111,2400.0,0.0,75,43,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,2,1,2,118285,,8,8,240.0,,400,1.0,2.0,9.0,0.0,1.5,1400.94887089,0.0,0.0,0.0,38171.0,5,1,108.0,7,5,2,0.0
5812,2,54.0,0.0,1,111,0.0,0.0,56,65,71,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,40.0,1,2,1,2,109031,,1,1,300.0,,402,3.0,0.0,5.0,2.0,2.5,246.607423279,726.0,1470.0,0.0,35908.0,1,1,90.0,7,5,2,0.0611562882923
5813,2,66.0,0.0,1,111,0.0,0.0,0,78,50,2,2,2,1,2,2,2,2,2,2,2,1,0,3,4,,2,1,1,3,102762,,4,0,350.0,620.0,110,0.0,2.0,4.0,0.0,1.0,1580.92173325,500.0,2000.0,0.0,18306.0,0,5,100.0,7,5,2,0.136567245712
5814,1,73.0,207.0,1,111,0.0,0.0,0,77,71,2,2,2,2,2,1,2,2,1,2,2,2,0,2,0,,1,1,2,3,130096,456.0,1,0,0.0,231.0,120,0.0,6.0,2.0,0.0,1.0,308.651241463,240.0,145.0,0.0,6344.0,0,5,45.0,7,5,2,0.0606872635561
5815,1,32.0,100.0,1,111,0.0,0.0,63,52,60,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,15.0,1,2,1,3,128037,,3,4,410.0,428.0,403,2.0,0.0,6.0,4.0,2.9,1457.07912145,429.0,1560.0,0.0,39854.0,1,1,181.0,7,5,2,0.0499071611382
5816,2,84.0,0.0,1,111,0.0,0.0,75,75,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,2,1,2,116745,,8,9,332.0,,400,0.0,2.0,9.0,0.0,1.5,245.238571207,440.0,170.0,2700.0,42872.0,5,5,110.0,7,5,2,0.0772065683896
5817,2,91.0,0.0,1,111,0.0,0.0,77,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,,2,2,1,3,110136,,2,1,242.0,,400,0.0,2.0,3.0,0.0,1.5,387.578228919,337.0,1500.0,0.0,20564.0,5,5,60.0,7,5,2,0.0893308694806
5818,2,60.0,0.0,5,111,2139.0,0.0,86,63,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,1,7,112493,,1,1,487.0,,401,1.0,5.0,4.0,1.0,2.0,256.184439251,0.0,0.0,0.0,26968.0,6,1,95.0,7,5,2,0.0
