"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_coicop_722","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance_autre_carbu","distance_diesel","distance_essence"
"10092",10091,15,15,78,111,75,71,0,9642,0,0,NA,0,0,4,0,1,1,3688.31824048556,0,NA,4345,5,1,8,7,1,1,0,0,0,0,0,1,0,0,1,0,4345,1,1,"1_0","1_0_0",NA,NA,NA
"10110",10109,4,6,35,112,63,44,0,9667,0,100,0,0,1,4,0,1,1,2882.35952199201,0,NA,5810,4,3,9,0,1,1,0,1,1,0,0,0,0,0,0,1,5810,1,1,"1_0","1_1_0",0,12000,0
"10114",10113,0,16,22,111,81,50,0,9670,0,0,NA,0,1,2,1,2,1.3,2467.87340113643,2080,NA,12321,4,3,5,4,2,1,0,0,0,0,1,0,0,1,1,0,9477.69230769231,1,1,"1_1","1_0_1",NA,NA,NA
"10116",10115,NA,NA,19,111,68,60,NA,9673,NA,NA,NA,432,2,2,0,2,1.5,3179.92579088884,780,NA,10146,1,3,9,7,3,0,NA,NA,0,0,0,1,0,1,0,0,6764,1,1,"1_1","1_0_1",NA,NA,NA
"10125",10124,NA,NA,45,111,42,41,NA,9685,NA,NA,NA,0,1,1,0,1,1,2860.82466419451,0,NA,40,4,4,8,7,1,0,NA,NA,0,0,0,1,0,0,0,0,40,1,1,"1_0","1_0_0",NA,NA,NA
"10129",10128,1,11,45,111,85,60,2,9690,0,0,NA,0,0,5,4,5,2.6,2471.07384463341,5200,17000,20141,4,3,10,8,2,1,0,0,0,0,0,0,1,1,1,0,7746.53846153846,1,1,"1_1","1_0_1",NA,NA,NA
"10136",10135,2,2,38,111,37,20,0,9702,0,200,0,0,2,6,3,5,2.4,1077.74583319953,3120,NA,5910,1,2,9,7,4,1,0,1,0,0,0,1,0,1,0,1,2462.5,1,1,"1_1","1_0_1",0,5000,0
"10143",10142,3,15,19,111,84,41,0,9713,0,NA,0,235,0,2,0,1,1,3686.2319545449,0,NA,1804,3,4,8,7,1,1,0,0,0,0,0,1,0,0,0,1,1804,1,1,"1_0","1_0_0",0,5000,0
"10144",10143,4,21,56,111,52,50,0,9714,0,150,0,0,1,4,1,3,2,2488.65682213001,2080,NA,14166,1,1,9,7,4,3,0,0,0,0,0,1,0,0,1,2,7083,1,1,"1_0","1_0_0",0,41700,0
"10160",10159,NA,NA,53,111,77,50,NA,9743,NA,NA,NA,0,0,3,1,2,1.5,3270.26873193351,0,NA,11006,7,3,7,5,2,0,NA,NA,0,0,1,0,0,1,0,0,7337.33333333333,1,1,"1_1","1_0_1",0,0,5000
"10169",10168,8,8,45,111,54,30,0,9754,0,0,99999,0,1,4,3,4,2.5,2748.35443102783,1040,NA,21307,1,1,8,7,2,1,0,1,0,0,0,1,0,0,1,0,8522.8,1,1,"1_0","1_0_0",NA,NA,NA
"10189",10188,NA,NA,70,111,78,70,NA,9780,NA,NA,NA,805,0,4,1,3,2,2627.27225955679,0,NA,15640,5,3,9,7,4,0,NA,NA,0,0,0,1,0,0,0,0,7820,1,1,"1_0","1_0_0",NA,NA,NA
"10191",10190,0,14,22,300,85,50,0,9783,0,400,0,0,1,2,0,2,1.5,2642.82278316157,2392,NA,10822,4,3,0,0,3,1,1,1,1,0,0,0,0,1,0,1,7214.66666666667,1,1,"1_1","1_1_1",0,10000,0
"10204",10203,NA,NA,40,221,63,50,NA,9804,NA,NA,NA,0,1,3,1,3,1.8,2186.43549655691,0,NA,11600,4,3,1,3,4,0,NA,NA,0,1,0,0,0,1,0,0,6444.44444444444,1,1,"1_1","1_0_1",NA,NA,NA
