"","X","age_carte_grise","age_vehicule","agepr","cataeu","cs42pr","dip14pr","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1_1","prix_achat","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","aides_logement","nb_essence","nb_diesel","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
"4451",4450,2,2,57,111,43,20,0,1877,400,0,0,0,1,4,0,1,1,2132.71144202,408,0,32741,1,1,8,7,1,1,0,1,0,0,0,1,0,0,0,0,32741,9,5,"9","9_0",10000,0,0,10000
"4458",4457,4,4,64,111,78,70,0,1888,0,0,0,0,0,4,0,1,1,2818.51308351,2601,0,34860,5,1,6,5,1,1,0,0,0,0,1,0,0,0,0,1,34860,9,5,"9","9_0",3000,0,3000,0
"4469",4468,12,12,78,111,78,50,0,1901,0,0,0,0,0,4,0,1,1,2117.98624979,2586,0,33618,5,3,6,4,1,1,0,0,0,0,1,0,0,0,1,0,33618,9,5,"9","9_0",1000,0,0,1000
"4474",4473,4,4,35,111,53,20,0,1912,0,200,0,0,2,4,1,3,1.8,1298.0478191,3328,0,59038,1,2,8,7,4,2,0,1,0,0,0,1,0,0,0,2,32798.8888889,9,5,"9","9_0",20000,0,20000,0
"4485",4484,0,0,61,111,52,71,1,1929,0,0,0,0,3,5,1,5,3,4203.51617979,2392,10000,96086,1,1,10,8,5,1,0,0,0,0,0,0,1,0,1,0,32028.6666667,9,5,"9","9_0",10704,0,0,10704
"4503",4502,1,2,48,111,22,20,2,1952,0,0,0,0,2,5,2,4,2.1,1407.45427944,0,22000,69156,1,2,6,5,4,2,0,1,0,0,1,0,0,0,0,2,32931.4285714,9,5,"9","9_0",48088,0,48088,0
"4513",4512,21,29,78,112,75,50,0,1963,0,0,0,0,0,5,0,2,1.5,1711.70919806,0,0,43766,5,1,8,0,3,1,0,0,1,0,0,0,0,0,1,0,29177.3333333,9,5,"9","9_1",3362,0,0,3362
"4516",4515,2,2,60,221,78,70,0,1967,0,0,0,0,1,4,0,2,1.5,1474.03240555,2600,0,52443,5,2,1,2,3,2,0,0,0,1,0,0,0,0,0,2,34962,9,5,"9","9_0",0,0,0,0
"4520",4519,6,6,71,112,74,60,0,1971,0,0,0,0,0,7,0,2,1.5,1702.08834226,1820,0,50448,5,1,6,0,3,3,0,0,1,0,0,0,0,0,1,2,33632,9,5,"9","9_1",45000,0,45000,0
"4530",4529,7,7,46,111,37,41,0,1989,0,75,0,444,1,3,1,2,1.5,3000.9401248,0,0,49527,1,3,10,8,2,1,0,1,0,0,0,0,1,0,0,1,33018,9,5,"9","9_0",11000,0,11000,0
