,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
63,0.0,0.0,43.0,211,68,71,0.0,10076,0.0,0.0,0.0,0.0,2.0,4.0,2.0,5.0,3.0,1762.7902480673902,2600.0,0.0,45145.0,1,1,3,3.0,5,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,15048.333333333334,2,0,2_0,2_0
64,9.0,9.0,78.0,111,86,71,0.0,10077,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1235.509561828703,0.0,0.0,14884.0,5,1,7,5.0,1,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,14884.0,2,0,2_0,2_0
65,10.0,10.0,45.0,111,56,71,0.0,10078,0.0,0.0,0.0,120.0,2.0,3.0,1.0,3.0,1.8,2520.407038918176,2080.0,0.0,28030.0,4,3,9,7.0,4,1.0,0.0,0.0,0,0,0,1,0,1,1.0,0.0,15572.222222222223,2,0,2_1,2_0
66,3.0,12.0,72.0,111,77,60,0.0,10079,0.0,199998.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2594.7075530606417,0.0,0.0,12690.0,5,1,9,7.0,1,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,12690.0,1,0,1_0,1_0
67,17.0,24.0,75.0,111,75,50,0.0,1008,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.5,1635.4387749817442,0.0,0.0,29703.0,5,1,5,4.0,3,2.0,0.0,0.0,0,0,1,0,0,0,1.0,1.0,19802.0,3,0,3_0,3_0
68,1.0,6.0,51.0,120,46,42,0.0,10080,0.0,0.0,0.0,0.0,3.0,7.0,2.0,4.0,2.5,358.08641955003577,3380.0,0.0,60083.0,1,1,0,3.0,4,1.0,0.0,1.0,0,1,0,0,0,0,0.0,1.0,24033.2,4,0,4_0,4_0
69,6.0,6.0,39.0,112,38,30,0.0,10081,0.0,0.0,0.0,0.0,2.0,4.0,2.0,4.0,2.1,3214.941339788412,0.0,0.0,67290.0,1,2,9,1.0,4,1.0,0.0,0.0,0,1,0,0,0,0,1.0,0.0,32042.85714285714,5,0,5,5_0
70,0.0,0.0,71.0,111,78,70,0.0,10082,0.0,0.0,0.0,210.0,0.0,3.0,0.0,1.0,1.0,2600.5985346966913,0.0,0.0,14602.0,5,3,9,7.0,1,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,14602.0,2,0,2_0,2_0
71,0.0,15.0,63.0,111,64,50,0.0,10083,0.0,0.0,200.0,0.0,2.0,4.0,0.0,2.0,1.5,2480.990648644,0.0,0.0,28948.0,1,3,8,7.0,3,2.0,0.0,1.0,0,0,0,1,0,0,1.0,1.0,19298.666666666668,3,0,3_0,3_0
72,2.0,2.0,46.0,111,52,42,0.0,10085,0.0,0.0,38.0,331.0,1.0,2.0,0.0,1.0,1.0,2062.6763482628235,1099.8,0.0,21151.0,1,3,7,5.0,1,1.0,0.0,1.0,0,0,1,0,0,0,1.0,0.0,21151.0,3,0,3_0,3_0
73,6.0,8.0,55.0,111,63,50,0.0,10086,0.0,0.0,99999.0,0.0,2.0,5.0,0.0,2.0,1.5,1459.0828421738117,0.0,0.0,41989.0,1,1,8,7.0,3,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,27992.666666666668,4,0,4_0,4_0
74,1.0,1.0,89.0,111,74,12,1.0,10087,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.5,2539.1147948594958,0.0,24500.0,74408.0,5,1,8,7.0,3,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,49605.333333333336,5,0,5,5_0
