,Unnamed: 0,X,age_carte_grise,age_vehicule,agepr,cataeu,cs42pr,dip14pr,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1_1,prix_achat,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_carte_grise.1,age_vehicule.1,distance_routiere_hebdomadaire_teg,duree_moyenne_trajet_aller_retour_teg,mode_principal_deplacement_teg,vp_deplacements_pro.1,vp_domicile_travail.1,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd
36,332,331,0,0,51,112,54,31,0,10418,0,0,0,0,1,5,2,4,2.5,2502.6762457,0.0,0,26522.0,1,2,8,0,4,0,0,0,1,0,0,0,0,0,0,0,10608.8,1,1,1_0,1_1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
37,339,338,2,2,49,221,68,50,0,1043,0,60,0,0,2,4,2,4,2.3,2546.2909973,3191.76,0,22696.0,1,2,1,1,4,1,0,1,0,1,0,0,0,1,0,1,9867.82608695652,1,1,1_1,1_0,35000,0,35000,0,3,0,45.9,10.0,3.3,0,1,2038.4052734388608,2038.4052734388608,0.0
38,354,353,0,0,51,111,55,60,0,10453,0,0,0,324,2,4,4,6,3.1,3228.9318222,0.0,0,28433.0,1,3,10,8,4,0,0,0,0,0,0,0,1,0,0,0,9171.93548387097,1,1,1_0,1_0,0,0,0,0,0,0,0.0,30.0,5.5,0,0,0.0,0.0,0.0
39,355,354,4,16,65,300,13,50,0,10455,0,550,0,0,1,4,0,1,1.0,2617.4685285,0.0,0,2584.0,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,2,2584.0,1,1,1_0,1_1,8000,0,8000,0,4,12,231.2,120.0,3.3,0,1,889.290123006296,889.290123006296,0.0
40,357,356,3,3,22,111,84,41,0,10457,0,400,130,260,0,1,0,1,1.0,4575.5069288,0.0,0,8130.0,3,3,9,7,1,2,0,1,0,0,0,1,0,0,1,1,8130.0,1,1,1_0,1_0,12144,0,12144,0,1,7,0.0,0.0,0.0,1,1,707.2683897326151,707.2683897326151,0.0
41,358,357,4,5,81,300,71,71,0,10458,0,0,0,0,0,4,0,2,1.5,2269.694228,1903.72,0,15280.0,5,1,0,0,3,1,0,0,1,0,0,0,0,0,0,1,10186.6666666667,1,1,1_0,1_1,10000,0,10000,0,6,6,0.0,0.0,0.0,0,0,1111.61265375787,1111.61265375787,0.0
42,361,360,1,12,44,112,56,71,2,10462,0,0,99999,0,2,5,3,4,2.5,501.69098314,1040.0,1500,19950.0,1,2,8,1,2,2,0,1,0,1,0,0,0,1,1,1,7980.0,1,1,1_1,1_0,144676,0,140000,4676,2,9,0.0,0.0,0.0,0,1,8425.952038286876,8153.621093755443,272.3309445314318
43,367,366,0,0,47,112,67,71,0,10472,0,0,0,0,1,4,4,5,2.8,1269.9796982,1040.0,0,28614.0,1,3,10,5,2,0,0,0,0,0,1,0,0,0,0,0,10219.2857142857,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
44,377,376,0,12,28,120,69,60,2,10485,0,0,0,0,1,6,2,4,2.1,2918.2802422,603.2,1800,17800.0,1,2,0,0,4,1,0,0,1,0,0,0,0,1,1,0,8476.19047619048,1,1,1_1,1_1,10000,0,0,10000,12,12,0.0,0.0,0.0,0,0,1111.61265375787,0.0,1111.61265375787
45,378,377,5,11,43,111,85,71,0,10486,0,0,0,0,0,3,2,4,2.1,4081.4912744,0.0,0,21454.0,4,3,10,8,4,3,0,0,0,0,0,0,1,0,1,2,10216.1904761905,1,1,1_0,1_0,60400,0,60400,0,6,7,0.0,0.0,0.0,0,0,3517.705100448777,3517.705100448777,0.0
46,390,389,0,0,55,400,85,50,0,105,0,0,0,0,0,2,0,1,1.0,1757.3354829,0.0,0,1361.0,7,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1361.0,1,1,1_0,1_0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
47,391,390,2,11,51,111,63,50,0,1050,0,0,0,168,1,2,0,1,1.0,2613.5933588,0.0,0,9214.0,4,3,9,7,1,1,0,0,0,0,0,1,0,0,1,0,9214.0,1,1,1_0,1_0,500,0,0,500,12,12,0.0,0.0,0.0,0,0,29.12007533484087,0.0,29.12007533484087
48,422,421,3,3,38,111,31,20,0,10536,0,0,0,185,2,4,2,4,2.5,1353.389301,0.0,0,25320.0,1,3,9,7,5,1,0,0,0,0,0,1,0,0,0,1,10128.0,1,1,1_0,1_0,15000,0,15000,0,3,3,153.9,32.3333333333333,3.3,1,1,873.6022600452261,873.6022600452261,0.0
