,age_carte_grise,age_vehicule,agepr,cataeu,consommation,cs42pr,dip14pr,distance_autre_carbu,distance_commerces,distance_diesel,distance_essence,distance_transports_communs,etat_veh_achat,ident_men,mloy_d,nactifs,nbphab,nenfants,nivie10,npers,ocde10,pondmen,puissance,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,aides_logement,nb_essence,nb_diesel,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_3
16153,9.0,0.0,47.0,111.0,,37.0,12.0,0.0,3.0,0.0,,1.0,4.0,73147201000.0,0.0,1.0,5.0,2.0,6.0,3.0,2.0,1093.1468776,10.0,1.0,1.0,9.0,7.0,2.0,2.0,0.0,1.0,0,0,0,1,0,0,2.0,0.0,18000.0,7,4,7,7_0
16154,1.0,4.0,60.0,111.0,4.7,75.0,33.0,0.0,1.0,8216.0,0.0,1.0,3.0,73147402000.0,0.0,0.0,4.0,0.0,8.0,1.0,1.0,1437.6152051,5.0,5.0,2.0,9.0,7.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,1.0,20400.0,8,4,8,8_0
16155,11.0,12.0,60.0,111.0,4.0,77.0,71.0,0.0,1.0,0.0,10000.0,1.0,3.0,73147502000.0,0.0,0.0,3.0,0.0,2.0,2.0,1.5,2274.888922,4.0,5.0,2.0,9.0,7.0,3.0,1.0,0.0,0.0,0,0,0,1,0,0,1.0,0.0,9936.0,2,1,2_0,2_0_0
16156,5.0,15.0,51.0,111.0,4.5,52.0,31.0,0.0,1.0,16353.0,10704.0,1.0,4.0,73147602000.0,659.0,2.0,3.0,1.0,3.0,2.0,1.5,2477.1042947,6.0,1.0,4.0,9.0,7.0,2.0,2.0,0.0,0.0,0,0,0,1,0,0,1.0,1.0,12000.0,3,2,3_0,3_0_0
16157,4.0,23.0,43.0,111.0,6.0,37.0,31.0,0.0,1.0,30000.0,0.0,1.0,4.0,73147702000.0,0.0,1.0,8.0,2.0,9.0,4.0,2.5,626.94893169,5.0,1.0,1.0,9.0,7.0,4.0,2.0,0.0,1.0,0,0,0,1,0,0,0.0,2.0,28800.0,9,5,9,9_0
16158,3.0,3.0,51.0,111.0,,37.0,42.0,0.0,4.0,25000.0,0.0,2.0,1.0,73147902000.0,0.0,1.0,5.0,2.0,4.0,4.0,2.5,1270.0904347,7.0,1.0,1.0,9.0,7.0,4.0,1.0,0.0,1.0,0,0,0,1,0,0,0.0,1.0,12816.0,4,2,4_0,4_0_0
16159,15.0,15.0,38.0,111.0,,42.0,31.0,0.0,2.0,0.0,12000.0,1.0,1.0,73148002000.0,0.0,1.0,4.0,1.0,4.0,2.0,1.5,1778.6595021,5.0,1.0,2.0,9.0,7.0,2.0,1.0,0.0,1.0,0,0,0,1,0,0,1.0,0.0,13728.0,4,2,4_0,4_0_0
16160,11.0,11.0,66.0,111.0,,74.0,12.0,0.0,4.0,0.0,7000.0,4.0,1.0,73148201000.0,0.0,0.0,6.0,0.0,6.0,2.0,1.5,582.04059618,6.0,5.0,2.0,9.0,7.0,3.0,2.0,0.0,0.0,0,0,0,1,0,0,2.0,0.0,16200.0,6,3,6,6_0
16161,0.0,0.0,25.0,111.0,,37.0,12.0,0.0,4.0,15164.0,0.0,2.0,2.0,73148301000.0,625.0,2.0,4.0,0.0,4.0,2.0,1.5,529.87660385,,1.0,4.0,9.0,7.0,3.0,1.0,0.0,1.0,0,0,0,1,0,1,0.0,1.0,12804.0,4,2,4_1,4_0_1
16162,2.0,2.0,51.0,111.0,6.0,47.0,60.0,0.0,4.0,9493.0,0.0,2.0,,73148401000.0,0.0,2.0,5.0,2.0,5.0,4.0,2.1,945.67147627,7.0,1.0,1.0,9.0,7.0,4.0,2.0,1.0,1.0,0,0,0,1,0,0,0.0,2.0,14280.0,5,3,5,5_0
