"","X","ident_men","pondmen","agepr","cataeu","chomage","cs42pr","nactifs","nactoccup","npers","ocde10","prest_precarite_hand","prest_precarite_rsa","prest_precarite_vieil","retraites","rev_valeurs_mobilieres_bruts","rev_etranger","rev_disponible","rsa_act","salaires","stalog","tau","tuu","typmen","donation_class_1","revdecm"
"5817",5816,8870,2448.17482667951,22,400,0,56,2,2,2,1.5,0,0,0,0,0,0,47266,0,52770,3,0,1,3,2,54920
"5820",5819,8874,3402.38767177363,54,111,0,34,2,2,2,1.5,0,0,0,0,0,0,56077.2,0,65750,2,10,8,3,2,54460
"5823",5822,8877,1623.14689463793,43,112,0,48,2,2,5,2.6,0,0,0,0,7,0,72443.65,0,65400,2,7,1,4,2,87280
"5824",5823,8879,1829.05495865597,58,300,0,31,2,2,3,1.8,0,0,0,0,633,0,94357.4,0,110820,1,0,0,4,2,114390
"5825",5824,8880,3075.52890118295,46,111,0,37,2,2,3,1.8,0,0,0,0,0,0,46598.5,0,51050,2,10,8,4,2,50290
"5832",5831,8890,2416.82604333359,58,112,0,46,2,2,2,1.5,0,0,0,0,0,0,35412.85,0,37690,1,7,0,3,2,39100
"5835",5834,8895,2547.74662317536,40,111,0,47,2,2,4,2.1,0,0,0,0,0,0,31135.3,0,27200,3,10,8,4,2,25640
"5847",5846,8916,2693.03992049826,52,111,0,63,2,2,4,2.3,0,0,0,0,0,0,39267.05,0,38440,1,6,4,4,2,44640
"5849",5848,8920,2348.02763463006,50,300,0,22,2,2,3,1.8,0,0,0,0,0,0,54292.95,0,0,2,0,0,4,2,63110
"5851",5850,8922,1503.72050462083,25,111,0,67,2,2,2,1.5,0,0,0,0,0,0,29923.4,0,28770,2,7,5,3,2,33060
"5863",5862,8943,2220.04881524262,50,111,0,23,2,2,6,3.1,0,0,0,0,0,0,65957,0,64200,1,9,7,4,2,81260
"5868",5867,8948,5390.25667371198,28,211,0,55,2,2,3,1.8,0,0,0,0,0,0,35473.05,0,27060,2,2,3,4,2,36210
"5870",5869,8950,1046.49875907373,43,300,5630,55,2,1,4,2.5,0,0,0,0,0,0,17782.65,0,8850,1,0,0,4,2,16450
"5872",5871,8953,3400.51612845864,44,112,0,22,2,2,4,2.1,0,0,0,0,0,0,29480.85,0,27990,1,7,0,4,2,27140
"5874",5873,8957,1531.61509338695,29,120,8660,62,2,2,4,2.1,0,0,0,0,0,0,31911,0,13770,3,0,0,4,2,34490
"5879",5878,8966,2173.0513915224,56,112,0,13,2,2,2,1.5,0,0,0,0,614,0,54843.85,0,32220,1,10,0,3,2,65900
"5880",5879,8969,3073.19492196459,36,111,0,37,2,2,3,1.8,0,0,0,0,12,0,57378.45,0,57590,2,10,8,4,2,70780
"5884",5883,8973,1735.88916632234,35,112,0,63,2,2,4,2.1,0,0,0,0,0,0,43164.8,0,42900,2,8,0,4,2,49320
"5888",5887,8981,1585.72889396881,42,112,0,52,2,2,5,2.6,0,0,0,0,0,0,44638.4,0,38650,1,7,1,4,2,42980
"5891",5890,8986,2583.86415536805,44,111,0,54,2,2,2,1.5,0,0,0,0,0,0,38153,0,40030,3,9,7,3,2,41250
"5892",5891,8987,3303.12161722427,37,111,4180,52,2,2,5,2.4,0,0,0,0,0,0,31230.7,0,19580,3,9,7,4,2,36180
"5895",5894,8993,2307.93981482691,39,111,0,31,2,2,5,2.4,0,0,0,0,0,0,62057.4,0,24580,2,9,7,4,2,65900
"5896",5895,8994,1544.1445265187,54,112,0,47,2,2,2,1.5,0,0,0,0,35,0,50467.6,0,54980,2,10,1,3,2,59950
"5900",5899,8998,2658.69415207298,35,112,0,47,2,2,3,1.8,0,0,0,0,0,0,16818.25,0,16680,3,6,0,4,2,8970
"5901",5900,8999,2293.74677445126,37,111,0,38,2,2,4,2.1,0,0,0,0,0,0,67154.7,0,66670,3,9,7,4,2,75700
"5902",5901,9001,1988.30984210916,52,111,0,21,2,2,4,2.5,0,0,0,0,0,0,37214,0,38460,2,8,6,4,2,38530
"5903",5902,9003,1461.27096520817,47,111,0,38,2,2,2,1.5,0,0,0,0,0,0,60499.5,0,76010,1,7,5,3,2,69680
"5905",5904,9006,6382.83580047236,20,112,7280,21,2,1,3,1.8,0,0,0,0,0,0,28598,0,16140,3,9,3,4,2,34110
"5906",5905,9007,1284.52497616427,36,111,0,53,2,2,4,2.1,0,0,0,0,0,0,43576.15,0,33810,2,9,7,4,2,46350
"5912",5911,9016,2922.3583310177,39,111,0,37,2,2,4,2.1,0,0,0,0,0,0,53275.2,0,43520,3,9,7,4,2,54310
"5913",5912,9017,3402.0474721392,39,112,0,63,2,2,4,2.1,0,0,0,0,0,0,52538.95,0,54320,2,10,3,4,2,50080
"5914",5913,9018,2112.35371447025,53,112,0,54,2,2,2,1.5,0,0,0,0,0,0,29095.9,0,31890,1,7,1,3,2,32460
"5918",5917,9022,1434.05060872369,54,112,0,52,2,2,3,2,0,0,0,0,130,0,50774.15,0,52150,3,6,1,4,2,60430
"5921",5920,9026,2824.37001939288,42,112,4590,63,2,2,4,2.5,0,0,0,0,0,0,30898.15,0,24700,2,7,2,4,2,30750
"5924",5923,9031,3220.13815969984,44,112,0,68,2,2,2,1.5,0,0,0,0,0,0,37186.75,0,39880,2,10,3,3,2,29270
"5929",5928,9044,4488.67688724035,39,120,0,21,2,2,4,2.1,0,0,0,0,0,0,48755.5,0,43090,2,0,0,4,2,58080
"5930",5929,9048,2804.77290743826,39,112,150,38,2,2,3,1.8,0,0,0,0,0,0,47716.7,0,50270,2,8,0,4,2,53820
"5932",5931,9050,1592.51845609994,25,111,0,42,2,2,3,1.8,0,0,0,0,0,0,41600.05,0,36450,3,7,6,4,2,44800
"5933",5932,9053,2561.88198256334,24,400,2110,69,2,1,2,1.5,0,0,0,0,0,0,28184.5,0,27000,3,0,0,3,2,30900
"5934",5933,9054,1961.57183007231,39,111,0,34,2,2,4,2.1,0,0,0,0,0,0,59299.05,0,56390,2,9,7,4,2,68420
"5935",5934,9055,2223.04251404757,57,111,0,43,2,2,2,1.5,0,0,0,0,223,0,56198.5,0,26720,1,10,8,3,2,51500
"5943",5942,9064,1376.7369523435,35,112,0,38,2,2,4,2.1,0,0,0,0,0,0,63807.45,0,55630,2,7,0,4,2,63530
"5945",5944,9066,1258.49474856379,54,111,0,48,2,2,3,2,0,0,0,0,0,0,44575.65,0,47240,3,9,7,4,2,53290
"5947",5946,9068,2310.12146914655,42,111,25230,35,2,2,4,2.1,0,0,0,0,0,0,43519.95,0,17700,1,9,7,4,2,48080
"5949",5948,9070,1677.14488982228,30,111,0,62,2,2,3,1.8,0,0,0,0,10,0,51812.15,0,40710,2,8,6,4,2,50270
"5951",5950,9074,1269.64344132256,50,112,0,52,2,2,2,1.5,0,0,0,0,0,0,18727.85,0,16140,1,8,1,3,2,13060
"5952",5951,9075,2527.55909562187,57,111,5290,46,2,1,2,1.5,0,150,0,0,0,0,44616.8,1480,34100,3,10,8,2,2,42270
"5960",5959,9084,5404.98234833738,28,120,5730,62,2,0,2,1.5,0,0,0,0,0,0,28544.5,0,17220,3,0,2,2,2,33390
"5964",5963,9088,1492.55318462905,47,400,0,21,2,2,4,2.3,0,0,0,0,0,0,53377.75,0,9790,1,0,0,4,2,57870
"5967",5966,9092,1549.02219387815,35,112,0,34,2,2,4,2.1,0,0,0,0,2,0,65400.85,0,57530,2,9,3,4,2,82440
"5970",5969,9097,3300.0434825745,44,111,0,47,2,2,4,2.1,0,0,0,0,0,0,44139.05,0,43740,2,9,7,4,2,50590
"5973",5972,9101,2541.95788801375,34,111,0,38,2,2,2,1.5,0,0,0,0,63,0,73397.7,0,81030,3,9,7,3,2,84800
"5974",5973,9103,3289.00774847921,28,111,0,45,2,2,2,1.5,0,0,0,0,0,0,43767.6,0,45960,3,10,8,3,2,49230
"5978",5977,9109,3302.75183366544,50,111,300,56,2,0,2,1.5,8380,0,0,0,0,0,13558,0,0,3,7,5,2,2,18320
"5981",5980,9115,2595.49509687459,48,300,0,42,2,2,2,1.5,0,0,0,0,0,0,37242.45,0,39880,1,0,0,3,2,37960
"5983",5982,9120,1390.95775891973,55,300,0,43,2,2,2,1.5,0,0,0,0,0,0,56629.3,0,56610,1,0,0,3,2,63900
"5985",5984,9125,1257.26432852042,55,112,0,42,2,2,2,1.5,0,0,0,5650,0,0,59553.2,0,31490,1,8,2,3,2,71730
"5989",5988,9133,3374.81859975428,51,111,0,56,2,2,3,1.8,0,0,0,0,0,0,38577.7,0,38670,3,10,8,4,2,39660
"5999",5998,9147,3267.45971359592,40,120,800,67,2,2,4,2.3,0,0,0,0,0,0,37628.85,0,35920,2,0,0,4,2,42730
"6001",6000,9149,3205.87633904284,41,111,0,23,2,2,4,2.1,0,0,0,0,0,0,67233.8,0,76590,5,9,7,4,2,73010
"6003",6002,9151,4151.87482007969,35,111,0,47,2,2,4,2.1,0,0,0,0,0,0,45858.4,0,42140,2,9,7,4,2,49780
