,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7624,10689,3736.3377733377597,53.0,111,0.0,68,1.0,0.0,1.0,1.0,0.0,5730.0,0.0,0.0,0.0,0.0,10605.0,0.0,0.0,3,6,4.0,1,1.0
7625,10690,1311.3538452859605,39.0,111,0.0,56,1.0,0.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,13469.0,0.0,0.0,3,10,8.0,2,1.0
7626,10691,2454.126153435705,53.0,112,0.0,47,3,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,72090.6,0.0,79360.0,1,9,1.0,4,3.0
7627,10695,1433.3516969676173,44.0,111,80.0,64,2.0,2.0,6.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,55696.2,0.0,48570.0,2,8,7.0,4,2.0
7628,10699,2369.4024625102297,25.0,111,15000.0,43,3,2.0,6.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,54915.0,0.0,42710.0,2,10,8.0,5,4.0
7629,10701,1756.765555297577,59.0,111,0.0,63,1.0,1.0,2.0,1.5,0.0,0.0,0.0,21880.0,0.0,0.0,39634.7,0.0,21460.0,1,8,7.0,3,1.0
7630,10702,2627.878915296126,90.0,111,0.0,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41160.0,455.0,0.0,42489.2,0.0,0.0,3,8,7.0,1,0.0
7631,10703,554.3789707023258,49.0,300,0.0,52,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,23892.35,2270.0,20480.0,3,0,2.0,2,1.0
7632,10704,3345.027616909617,32.0,111,0.0,55,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23139.65,0.0,25860.0,2,9,7.0,1,1.0
7633,10705,1405.4520062227582,72.0,300,0.0,71,0.0,0.0,2.0,1.5,0.0,0.0,0.0,32620.0,0.0,0.0,31161.0,0.0,0.0,1,0,0.0,3,0.0
7634,10706,1051.3840189378789,27.0,111,0.0,56,1.0,0.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,5319.5,0.0,0.0,3,9,7.0,2,1.0
7635,10707,6072.350858211181,80.0,111,0.0,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,24360.0,0.0,0.0,22705.75,0.0,0.0,3,10,8.0,1,0.0
7636,10708,4934.6298935136,74.0,111,0.0,77,0.0,0.0,2.0,1.5,0.0,0.0,0.0,34890.0,0.0,0.0,34320.75,0.0,0.0,3,9,7.0,5,0.0
7637,10709,3812.8115486247484,63.0,111,0.0,77,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23140.0,0.0,0.0,22211.1,0.0,0.0,3,10,8.0,1,0.0
7638,10710,793.3632207862638,44.0,111,0.0,67,1.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,19768.45,0.0,20760.0,2,7,5.0,2,1.0
7639,10711,2596.8215159016995,29.0,111,0.0,46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22384.0,0.0,23540.0,2,9,7.0,1,1.0
