,ident_men,ocde10,vag,typmen,revtot,fumeur,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,w1,w10,w11,w12,w2,w3,w4,w5,w6,w7,w8,w9
46415,3304.0,1.5,19.0,3.0,92044.0,1.0,115.510688149,115.3,123.353273823,109.116161394,163.618351064,94.9479729729,114.574023722,106.938844859,103.7,106.37045172,87.9,121.427614491,100525.613171,91.0,7.0,49.0,0.0964120319619,0.0,0.0668349915272,0.0947134101021,0.0245063920533,0.064008766016,0.199304734907,0.0179925850483,0.0,0.331428071111,0.00377485619453,0.101024161079
46427,3305.0,1.0,19.0,1.0,20492.0,0.0,113.508425949,115.3,137.7,110.804629018,109.676388904,93.2,142.70218787,105.2,103.7,128.213338523,87.9,111.890076207,19779.9828173,91.0,7.0,49.0,0.0679506625391,0.0,0.0189546913855,0.0785899457778,0.0100069293399,0.0165741413918,0.369546037204,0.00288779245031,0.0,0.323493650059,0.0257998892401,0.0861962606128
46439,3306.0,2.3,19.0,4.0,40480.0,0.0,114.119039257,115.3,125.501652892,113.029401519,113.2,93.2,114.997225229,117.468407292,103.7,123.0,87.9,116.505003385,12853.971214,91.0,7.0,49.0,0.0958570234471,0.0,0.0383621419273,0.193400832798,0.0503532535477,0.0116255486409,0.377604762548,0.0433587463453,0.0,0.003327579253,0.0491288913934,0.1369812201
46451,3307.0,1.0,19.0,1.0,20030.0,1.0,118.377362854,115.3,122.2,114.715579642,177.8,94.2436695502,134.839325843,101.748780488,96.6,109.826798294,88.4226310864,121.21642768,41041.6442035,91.0,7.0,49.0,0.0548440360057,0.0,0.0231577222276,0.105842019459,0.0808270653678,0.0263557497511,0.207937967717,0.057453207928,0.00498617983783,0.318614858454,0.0173282194675,0.102652973786
46463,3308.0,3.0,19.0,5.0,37306.0,0.0,113.498308229,115.3,121.3,109.649252692,143.5,93.2,118.244210816,109.08305029,95.2266942088,116.030451629,88.190291262,117.190810472,34674.4945153,91.0,7.0,49.0,0.137731466011,0.0530325348629,0.0,0.0406811780617,0.0,0.0178622277494,0.291629762263,0.0172668235243,0.221088155741,0.195900740073,0.00647820937375,0.0183289023399
46475,3309.0,1.5,19.0,3.0,48193.0,0.0,115.775152586,115.3,122.80941697,113.47270326,143.5,93.2,115.675853256,108.946734924,96.6,107.613980616,87.9,127.868633512,68779.236216,91.0,7.0,49.0,0.0635583650774,0.0,0.0378961447898,0.0930000299186,0.0,0.00875054250453,0.268273487673,0.0975594704093,0.0204349673161,0.233097602166,0.00881485842062,0.168614531725
46487,3310.0,1.5,19.0,3.0,24000.0,0.0,115.664874787,115.3,133.681481481,114.465584166,111.969722196,94.5721777583,111.337751635,91.7588771209,96.6,127.369747899,87.9,109.917250897,22231.4960731,91.0,7.0,49.0,0.16700465493,0.0,0.0151780663709,0.110424799866,0.00494635797912,0.0825432690901,0.394172951336,0.0377479499587,0.0287875549969,0.055430428178,0.0235434685711,0.0802204987234
46499,3311.0,1.0,19.0,1.0,15895.0,0.0,112.836934916,115.3,113.1,112.123037323,113.2,93.6357142859,122.909505179,107.3,103.7,125.177225432,87.9,105.8,27861.7439444,91.0,7.0,49.0,0.036470862101,0.0,0.0565175883021,0.0344093476524,0.016921937324,0.106278395772,0.520036054456,0.0,0.0,0.194590616751,0.0250477993591,0.00972739828263
46511,3312.0,2.1,19.0,4.0,49111.0,1.0,113.721233576,115.3,125.597334809,113.542400228,174.881825042,95.0609581321,113.872126437,106.811232893,111.972457021,116.867970171,87.9,116.821203566,32778.4623535,91.0,7.0,49.0,0.130601865985,0.0,0.031062622478,0.17107238247,0.0440582747441,0.0517400949008,0.252925910411,0.0300553333045,0.0339232637615,0.202678584362,0.0114057152058,0.0404759523774
46523,3322.0,1.5,19.0,3.0,22105.0,0.0,114.207358744,115.3,121.3,115.105580468,104.009647159,93.2,124.288747836,107.3,96.6,128.2,87.9,131.846989277,19171.0081022,91.0,7.0,49.0,0.135328386074,0.0,0.0,0.172228442965,0.0713494912145,0.0275718476274,0.376872384496,0.0,0.025757618208,0.0405122416241,0.0116033425929,0.138776245199
