product,Juic,Alc,SD,Wat,Cof,FFV,Spices,PBF,PBD,PBS,Starch,PFV,Beef,OM,CM,ABF,Cheese,Fish,Dairy,PrepM,PrepD,age,revenus
Juic,-1.342,0.186,0.173,0.06,0.089,-0.013,0.024,0.103,0.055,-0.009,0.032,0.038,0.16,0.128,0.073,0.107,-0.156,0.007,0.152,0.012,0.003,2,0
Alc,0.09,-1.22,0.121,0.043,0.07,0.002,0.016,0.032,0.021,0.098,0.018,0.037,0.055,0.065,0.071,0.038,0.122,0.124,0.077,0.049,0.054,2,0
SD,0.202,0.291,-1.479,0.039,0.093,0.017,0.004,0.03,-0.047,0.011,0.016,0.018,0.075,0.059,0.053,0.054,0.248,0.019,0.089,0.11,0.028,2,0
Wat,0.051,0.075,0.028,-1.387,0.025,0.072,0.0,0.039,0.06,0.014,0.064,0.028,0.119,0.022,0.092,0.055,0.315,0.008,0.124,0.08,0.009,2,0
Cof,0.094,0.152,0.085,0.031,-0.945,-0.029,0.025,0.031,0.028,0.014,0.013,0.01,0.077,0.029,0.046,0.054,-0.002,0.111,0.107,0.051,0.104,2,0
FFV,-0.024,0.007,0.027,0.155,-0.051,-1.067,-0.003,0.002,0.026,-0.017,0.079,0.028,0.074,0.214,0.082,0.075,0.217,-0.048,0.05,0.135,0.085,2,0
Spices,0.09,0.12,0.011,-0.001,0.087,-0.006,-0.984,0.01,0.043,0.237,-0.019,0.025,0.163,0.083,0.046,0.018,-0.064,0.092,0.08,-0.104,0.052,2,0
PBF,0.183,0.116,0.046,0.082,0.052,0.002,0.005,-1.157,0.073,0.037,0.122,0.099,0.096,0.111,0.088,0.014,-0.251,0.035,0.228,-0.021,0.083,2,0
PBD,0.071,0.055,-0.052,0.091,0.034,0.018,0.015,0.053,-1.031,0.043,0.029,0.03,0.187,0.048,0.073,0.046,-0.179,0.193,0.104,0.096,0.047,2,0
PBS,-0.012,0.274,0.013,0.022,0.018,-0.013,0.086,0.028,0.045,-1.098,0.031,0.007,0.187,0.083,-0.056,0.013,-0.066,0.264,-0.022,0.146,0.075,2,0
Starch,0.062,0.074,0.027,0.147,0.024,0.084,-0.01,0.134,0.043,0.044,-1.227,0.056,0.089,0.163,0.112,-0.011,-0.024,-0.011,0.097,0.006,0.005,2,0
PFV,0.084,0.169,0.034,0.074,0.02,0.034,0.015,0.123,0.051,0.011,0.064,-1.242,0.106,0.129,0.078,0.046,-0.083,0.102,0.105,0.001,0.044,2,0
Beef,0.085,0.06,0.034,0.074,0.039,0.022,0.023,0.029,0.077,0.073,0.024,0.026,-1.097,0.094,0.096,0.039,0.013,0.061,0.099,0.017,0.012,2,0
OM,0.095,0.098,0.037,0.019,0.02,0.087,0.016,0.046,0.028,0.045,0.061,0.043,0.13,-1.308,0.057,0.042,0.12,0.091,0.081,0.094,0.027,2,0
CM,0.07,0.14,0.044,0.104,0.042,0.043,0.012,0.047,0.054,-0.04,0.055,0.034,0.174,0.075,-1.184,0.061,0.044,0.004,0.114,0.052,0.068,2,0
ABF,0.163,0.119,0.07,0.099,0.078,0.062,0.007,0.012,0.054,0.014,-0.008,0.032,0.111,0.087,0.096,-1.292,0.025,0.057,0.05,0.032,-0.007,2,0
Cheese,-0.098,0.156,0.132,0.232,-0.001,0.074,-0.011,-0.088,-0.087,-0.03,-0.008,-0.023,0.015,0.101,0.029,0.01,-0.787,-0.018,0.028,0.119,-0.13,2,0
Fish,0.006,0.234,0.015,0.008,0.097,-0.024,0.023,0.018,0.138,0.179,-0.005,0.042,0.106,0.114,0.004,0.035,-0.027,-1.173,0.102,0.053,0.069,2,0
Dairy,0.108,0.113,0.054,0.104,0.072,0.02,0.015,0.091,0.058,-0.012,0.035,0.034,0.133,0.078,0.084,0.023,0.032,0.079,-1.303,0.029,-0.027,2,0
PrepM,0.012,0.1,0.094,0.094,0.048,0.073,-0.028,-0.011,0.074,0.107,0.003,0.0,0.032,0.127,0.054,0.021,0.19,0.057,0.041,-1.159,0.053,2,0
PrepD,0.002,0.095,0.021,0.009,0.085,0.04,0.012,0.04,0.032,0.047,0.002,0.017,0.02,0.032,0.061,-0.004,-0.178,0.064,-0.033,0.046,-1.467,2,0
Juic,-1.468,0.216,0.208,0.066,0.106,-0.022,0.028,0.129,0.059,-0.023,0.032,0.043,0.186,0.15,0.077,0.13,-0.226,0.007,0.168,-0.002,-0.021,3,0
Alc,0.078,-1.203,0.113,0.048,0.072,0.005,0.016,0.035,0.019,0.095,0.017,0.037,0.06,0.068,0.068,0.037,0.118,0.134,0.067,0.046,0.045,3,0
SD,0.211,0.319,-1.547,0.041,0.103,0.019,0.003,0.034,-0.06,0.007,0.013,0.018,0.077,0.062,0.051,0.057,0.267,0.028,0.082,0.115,0.016,3,0
Wat,0.04,0.081,0.025,-1.354,0.03,0.072,0.001,0.042,0.056,0.014,0.059,0.028,0.121,0.027,0.087,0.053,0.298,0.023,0.11,0.075,0.003,3,0
Cof,0.08,0.152,0.077,0.037,-0.942,-0.023,0.024,0.034,0.026,0.015,0.012,0.011,0.082,0.034,0.044,0.052,0.002,0.12,0.094,0.048,0.092,3,0
FFV,-0.028,0.019,0.024,0.15,-0.039,-1.056,-0.001,0.008,0.024,-0.014,0.072,0.027,0.08,0.204,0.076,0.07,0.203,-0.026,0.041,0.124,0.074,3,0
Spices,0.077,0.123,0.008,0.005,0.089,-0.002,-0.984,0.015,0.041,0.228,-0.019,0.025,0.165,0.085,0.043,0.018,-0.06,0.104,0.069,-0.101,0.043,3,0
PBF,0.155,0.117,0.041,0.082,0.054,0.007,0.006,-1.13,0.066,0.036,0.108,0.089,0.099,0.107,0.08,0.016,-0.211,0.05,0.197,-0.015,0.071,3,0
PBD,0.062,0.056,-0.063,0.097,0.037,0.02,0.016,0.058,-1.038,0.042,0.027,0.031,0.198,0.05,0.072,0.047,-0.199,0.216,0.097,0.097,0.038,3,0
PBS,-0.024,0.283,0.008,0.025,0.021,-0.011,0.088,0.032,0.043,-1.102,0.029,0.006,0.194,0.087,-0.061,0.012,-0.071,0.282,-0.035,0.146,0.067,3,0
Starch,0.053,0.076,0.022,0.159,0.026,0.092,-0.011,0.147,0.041,0.044,-1.251,0.06,0.093,0.174,0.116,-0.014,-0.035,-0.004,0.09,-0.001,-0.008,3,0
PFV,0.073,0.172,0.03,0.078,0.024,0.036,0.015,0.126,0.049,0.01,0.062,-1.24,0.11,0.132,0.075,0.046,-0.083,0.114,0.095,-0.002,0.036,3,0
Beef,0.073,0.066,0.03,0.077,0.042,0.024,0.023,0.033,0.073,0.071,0.022,0.026,-1.085,0.095,0.092,0.038,0.014,0.073,0.088,0.015,0.006,3,0
OM,0.082,0.102,0.033,0.024,0.025,0.087,0.017,0.049,0.026,0.044,0.058,0.042,0.132,-1.29,0.055,0.042,0.116,0.102,0.07,0.089,0.02,3,0
CM,0.06,0.146,0.04,0.111,0.045,0.047,0.012,0.052,0.053,-0.045,0.055,0.035,0.183,0.078,-1.199,0.062,0.041,0.014,0.106,0.049,0.061,3,0
ABF,0.153,0.123,0.066,0.103,0.081,0.065,0.008,0.016,0.052,0.013,-0.01,0.032,0.116,0.09,0.094,-1.294,0.023,0.07,0.04,0.029,-0.016,3,0
Cheese,-0.112,0.161,0.13,0.24,0.001,0.078,-0.011,-0.087,-0.092,-0.033,-0.01,-0.024,0.017,0.105,0.026,0.01,-0.785,-0.007,0.017,0.118,-0.142,3,0
Fish,0.004,0.211,0.016,0.022,0.09,-0.012,0.021,0.024,0.116,0.149,-0.001,0.038,0.106,0.107,0.01,0.034,-0.008,-1.116,0.084,0.049,0.058,3,0
Dairy,0.109,0.12,0.053,0.117,0.08,0.021,0.016,0.107,0.059,-0.021,0.036,0.036,0.146,0.083,0.088,0.022,0.022,0.096,-1.381,0.023,-0.051,3,0
PrepM,-0.001,0.105,0.093,0.1,0.052,0.079,-0.03,-0.01,0.075,0.112,0.0,-0.001,0.032,0.135,0.052,0.02,0.196,0.07,0.029,-1.177,0.044,3,0
PrepD,-0.016,0.098,0.013,0.004,0.096,0.045,0.012,0.047,0.028,0.049,-0.004,0.017,0.012,0.029,0.061,-0.01,-0.226,0.08,-0.061,0.042,-1.571,3,0
