,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
485,479.0,9,2.0,18.0,4.0,67973.0,0.0,115.47297356,143.4,103.872918551,111.287361091,101.307142857,129.198170326,99.5013913775,121.8,108.062918464,59260.4420641,89.0,5.0,25.0,7921.0,10,0.118966205366,0.0,0.0402384628115,0.237402478725,0.0664086177287,0.0625587551129,0.0867651733814,0.273889483087,0.113770823788
494,480.0,9,2.1,18.0,4.0,50318.0,0.0,115.055930114,104.237418278,106.990644692,114.357862758,97.5579494754,127.65597088,113.730403937,116.855904085,104.968805323,43392.2418664,89.0,5.0,25.0,7921.0,9,0.0939875240257,0.0176841412162,0.0964397795744,0.331557526978,0.028167258209,0.071492703041,0.0772879080022,0.145850070726,0.137533088227
503,481.0,9,1.5,18.0,3.0,49816.0,0.0,117.411672769,143.4,103.253213161,115.0291934,117.1,114.113154223,123.218272639,122.977223555,110.519189346,42658.2273392,89.0,5.0,25.0,7921.0,9,0.0680884964877,0.0,0.0495983501476,0.355419617347,0.0047445058216,0.319355587315,0.0532103056603,0.0530973232602,0.0964858139609
512,482.0,9,2.6,18.0,4.0,81157.0,0.0,115.227196224,109.4,104.95324717,114.408631541,114.865954813,115.64521408,116.100222263,116.056045834,114.657809475,42285.1876343,89.0,5.0,25.0,7921.0,9,0.111214915973,0.00145030932789,0.0322472621031,0.316317520433,0.0331405956327,0.201153574211,0.0644590872005,0.101938994875,0.138077740243
521,483.0,9,1.5,18.0,3.0,61625.0,0.0,114.776580708,106.551347238,94.7934198674,112.831182256,109.55,107.006578086,121.042244196,122.826666667,106.168657451,56001.2681963,89.0,5.0,25.0,7921.0,10,0.0748016290022,0.0285433283908,0.0146158547012,0.247260820217,0.0,0.506738242794,0.0792935132189,0.00535592827789,0.0433906833976
530,484.0,9,1.5,18.0,3.0,27801.0,0.0,117.323187773,111.326734192,111.182248782,112.365600707,102.667414286,116.9,111.493284269,118.8,109.499804395,26782.6975824,89.0,5.0,25.0,7921.0,5,0.314931929583,0.0529422681758,0.00752663814769,0.418622346641,0.141945896124,0.0,0.00593775136006,0.0,0.0580931699684
539,485.0,9,1.0,18.0,1.0,36266.0,0.0,116.250009109,109.116459783,108.687113431,121.588928865,97.0,116.9,111.40690321,118.8,108.20938083,31601.8897572,89.0,5.0,25.0,7921.0,7,0.113628248583,0.0280115450978,0.0146871386493,0.641684008114,0.111188085182,0.0,0.0287700036511,0.0,0.062030970722
548,486.0,9,2.1,18.0,4.0,58949.0,0.0,116.213107449,143.4,107.782676681,113.874117647,97.0,110.903717347,121.577507074,117.670960978,106.199884508,41555.7112397,89.0,5.0,25.0,7921.0,9,0.073615125621,0.0,0.0416075093229,0.292376263156,0.000483172865041,0.383297435974,0.0355803897167,0.122456879633,0.050583223712
557,487.0,9,2.0,18.0,4.0,44270.0,0.0,115.768184305,143.4,103.655347844,114.120811319,108.198244141,130.817969452,94.8874661051,123.738244198,106.520725385,23477.0038986,89.0,5.0,25.0,7921.0,4,0.164923606352,0.0,0.0642957719406,0.422175457606,0.0250400503936,0.0306833286043,0.1273297442,0.0395652230891,0.125986817815
566,488.0,9,1.0,18.0,1.0,105914.0,0.0,115.532605539,103.0,112.2,111.534341946,109.55,135.9,111.4,118.8,105.191008777,21503.493478,89.0,5.0,25.0,7921.0,4,0.197760829131,0.181071746923,0.020652658303,0.478957747299,0.0,0.0518207237679,0.00591911815464,0.0,0.0638171764208
575,489.0,9,1.0,18.0,1.0,14463.0,1.0,114.569179921,177.4,104.068798984,113.687980769,105.107159905,117.183698932,121.03490566,115.287410072,97.0673746569,52946.6777491,89.0,5.0,25.0,7921.0,10,0.0372144862744,0.053653241473,0.0553941521715,0.589614051101,0.0444904292479,0.0560614430902,0.0175737797539,0.0393712047919,0.106627212096
584,490.0,9,2.6,18.0,4.0,72585.0,0.0,117.721432428,143.4,106.887004572,113.732420824,109.60766833,123.351704546,118.863252474,114.120088791,110.965201689,30248.0429833,89.0,5.0,25.0,7921.0,6,0.0561698649113,0.0,0.00507330817999,0.561577300606,0.0224588306183,0.0347618802366,0.083854492723,0.0902258195218,0.145878503202
593,491.0,9,1.5,18.0,3.0,30276.0,0.0,117.817384855,143.4,108.557144318,110.419957147,109.55,131.982474344,121.776403795,118.8,106.974863797,16661.3499776,89.0,5.0,25.0,7921.0,2,0.149742173365,0.0,0.0301151643753,0.544989822345,0.0,0.0849057261023,0.0599389647723,0.0,0.130308149039
