,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
51146,4021.0,9,1.5,20.0,3.0,29460.0,1.0,113.536479888,124.982954663,97.4138603613,114.16995895,117.2,127.081757896,71.4901239542,120.211764706,100.019087936,37991.2103791,93.0,9.0,81.0,8649.0,8,0.102934166329,0.0212262135297,0.133995809575,0.300666076641,0.142556931786,0.0855778071855,0.090696690584,0.0145398696214,0.107806434748
51155,4022.0,9,1.5,20.0,3.0,39565.0,0.0,113.757002816,143.4,104.327593423,114.504973221,96.5,131.543570318,115.614292724,119.804936529,105.703687845,35647.341528,93.0,9.0,81.0,8649.0,8,0.165268582459,0.0,0.112629910305,0.305716683597,0.00525705941911,0.112246403986,0.123841700886,0.0859320656706,0.0891075936753
51164,4023.0,9,1.0,20.0,1.0,7344.0,1.0,117.769486122,178.0,106.2,116.2,110.25,121.3,97.4,119.7,116.631578947,9242.95048607,93.0,9.0,81.0,8649.0,1,0.032921166626,0.0753487349074,0.0,0.871439414887,0.0,0.0,0.0,0.0,0.0202906835803
51173,4024.0,9,1.8,20.0,4.0,27239.0,0.0,114.322047624,143.4,103.821407162,116.071745562,117.2,153.2,95.9480025335,122.8,110.410352934,19441.4541758,93.0,9.0,81.0,8649.0,3,0.0746548318447,0.0,0.0836342821894,0.322141101722,0.000817646343263,0.156800066341,0.0946971165832,0.0571042702122,0.210150684763
51182,4025.0,9,1.5,20.0,3.0,76237.0,0.0,112.628273518,112.327404641,89.2838147598,115.186256644,110.25,121.3,112.1,119.7,118.807302275,22779.3209758,93.0,9.0,81.0,8649.0,4,0.281654969295,0.074864959591,0.0424416686145,0.482076209988,0.0,0.0,0.0122349157754,0.0,0.106727276735
51191,4026.0,9,2.1,20.0,4.0,28507.0,0.0,115.691845512,143.4,104.086907445,113.303757268,116.424748168,105.697846843,126.200788886,120.699803262,100.243140845,32506.5456051,93.0,9.0,81.0,8649.0,7,0.172023710752,0.0,0.0768103170079,0.401165340913,0.0455462253451,0.108850897753,0.0472697620903,0.0862677594929,0.0620659866453
51200,4027.0,9,1.0,20.0,1.0,18018.0,0.0,113.699664235,143.4,117.311808927,109.796921831,95.3491495145,108.720480814,111.363072696,125.42295082,97.5500517691,32943.2360602,93.0,9.0,81.0,8649.0,7,0.0677527095374,0.0,0.0993855498679,0.468691194371,0.200004455151,0.0424952354733,0.0750983768571,0.010413517796,0.036158960947
51209,4028.0,9,2.5,20.0,5.0,45095.0,0.0,112.695309679,107.265528726,107.876451767,112.255431009,115.011182988,112.081580549,97.8769395605,120.273365699,110.808140709,29889.0871649,93.0,9.0,81.0,8649.0,6,0.167316939567,0.0073643314997,0.046352741796,0.281230010027,0.0437769168947,0.226870095932,0.0967719207331,0.0795930766551,0.0507239668956
51218,4029.0,9,1.5,20.0,3.0,55170.0,0.0,113.714091412,112.9,106.71053678,116.013575517,96.5,111.113416097,127.027772167,125.090554084,105.397696602,130165.350662,93.0,9.0,81.0,8649.0,10,0.0523410383439,0.00527301964187,0.0932182249331,0.220125619584,0.000252668872283,0.195264305922,0.372792529117,0.0115060903117,0.0492265032742
51227,4030.0,9,1.8,20.0,4.0,54439.0,1.0,114.294913317,130.620420227,104.303344035,127.666142949,115.319419589,110.646148353,113.607806215,119.597515914,105.372193272,42414.7630776,93.0,9.0,81.0,8649.0,9,0.0994748252262,0.0261592311696,0.12027609987,0.212013061499,0.108749528815,0.243231283986,0.0812920089168,0.079076308135,0.0297276523818
51236,4031.0,9,2.3,20.0,2.0,25175.0,1.0,114.155295928,178.0,103.926765767,113.781941913,96.5,123.576835689,77.4725174219,117.572767021,98.3927699172,17152.1173431,93.0,9.0,81.0,8649.0,2,0.121745260224,0.0360046927211,0.0333713540357,0.434822686525,0.00338461540088,0.11841897059,0.0617358138509,0.0760778776988,0.114438728952
51245,4032.0,9,1.5,20.0,3.0,23032.0,1.0,113.431502295,171.221973555,105.044440271,116.369037466,117.0,134.072628294,86.4740139211,122.8,95.4407482151,46071.6060163,93.0,9.0,81.0,8649.0,9,0.0805857127473,0.0621569454564,0.195498268881,0.372700934495,0.0105757220716,0.131679855098,0.0102648346995,0.0244732051098,0.112064521442
51254,4033.0,9,1.5,20.0,3.0,21930.0,0.0,113.953767143,143.4,106.826021103,115.992334973,117.055423907,117.816250039,117.649525394,122.8,95.4827593246,34171.4255905,93.0,9.0,81.0,8649.0,7,0.168300797416,0.0,0.0784393580171,0.223381383074,0.0470361900418,0.0705235780781,0.321327774092,0.0149290196268,0.0760618996544
51263,4034.0,9,2.1,20.0,4.0,29617.0,1.0,113.353617154,146.166060667,102.055495124,115.775809524,110.25,132.890789474,115.247879183,122.8,99.6904590584,19285.9332055,93.0,9.0,81.0,8649.0,3,0.116197437833,0.072833974917,0.165770774677,0.324258451396,0.0,0.0582968186876,0.099321419338,0.037959412135,0.125361711017
51272,4035.0,9,2.7,20.0,4.0,36133.0,1.0,113.751388822,178.0,104.45065016,116.839165985,110.25,113.306800844,56.491404358,114.98663931,106.381036401,31886.8623877,93.0,9.0,81.0,8649.0,7,0.104763003859,0.0191588721475,0.114080544557,0.133252119916,0.0,0.51665489768,0.0232490354952,0.0297911096562,0.0590504166887
51281,4036.0,9,1.8,20.0,4.0,26079.0,1.0,113.575120888,178.0,104.970372464,113.385908074,110.25,121.944900402,125.270779259,117.014010916,103.332528518,35843.0657991,93.0,9.0,81.0,8649.0,8,0.122985787639,0.0781192420181,0.14303407201,0.114291074505,0.0,0.231748344634,0.0752088186307,0.0498541869457,0.184758473618
51290,4037.0,9,1.5,20.0,3.0,35284.0,0.0,116.143316417,112.9,111.358275902,137.735434196,96.5,137.580126582,123.319035414,122.8,108.929238708,39453.616106,93.0,9.0,81.0,8649.0,8,0.222532135786,0.0238227790891,0.0392060466263,0.355342520848,0.0130146885953,0.0345588265899,0.0897266572151,0.0540777916536,0.167718553598
51299,4365.0,9,1.0,20.0,1.0,14207.0,0.0,112.004721921,143.4,98.5779967379,135.080470942,96.5,121.3,81.2707223179,114.0,113.065651006,54816.3852689,93.0,9.0,81.0,8649.0,10,0.0538221806669,0.0,0.0285176972634,0.74345489916,0.01433747034,0.0,0.0596756968529,0.0250330242162,0.0751590315016
51308,4366.0,9,2.1,20.0,4.0,29501.0,0.0,114.814584188,143.4,107.735293679,113.469110483,105.757850493,150.87126139,114.878826723,115.878880456,104.333987555,17981.282051,93.0,9.0,81.0,8649.0,2,0.208123264335,0.0,0.155703488185,0.315738327368,0.00525228976921,0.0854489132619,0.0411172947644,0.0429227875032,0.145693634814
51317,4367.0,9,1.8,20.0,4.0,38707.0,1.0,114.271100124,178.0,103.829539298,116.146604808,96.5,119.370019946,112.639152728,114.0,111.904056918,26880.5898011,93.0,9.0,81.0,8649.0,5,0.120943450947,0.0189392024813,0.0802406898326,0.306444772879,0.00697158038321,0.209727766859,0.0691611815158,0.0348693492859,0.152702005815
51326,4368.0,9,1.0,20.0,1.0,24518.0,0.0,113.00368707,112.198701288,86.9005534484,114.780418351,96.5,150.12937572,104.426104169,114.992771703,104.884844932,27751.8535299,93.0,9.0,81.0,8649.0,6,0.0990220824222,0.025425629236,0.141377399661,0.427321404263,0.0070903445048,0.0865837030528,0.0456507173755,0.0999931824769,0.0675355370069
51335,4369.0,9,1.5,20.0,3.0,39219.0,0.0,116.170599544,107.5,103.036134193,113.671289651,96.5,136.151630726,113.954320811,114.0,106.172710255,54304.2815729,93.0,9.0,81.0,8649.0,10,0.110596500668,0.00753741537782,0.313478371194,0.221054100813,0.00172546424627,0.122728748811,0.124606954327,0.0214313198608,0.0768411247013
51344,4370.0,9,1.5,20.0,3.0,17192.0,0.0,114.114003893,112.9,104.754687847,113.156108139,110.25,115.7,112.504096469,122.8,111.984098987,18909.0754647,93.0,9.0,81.0,8649.0,3,0.165355728404,0.0116793782411,0.0374777754471,0.508354800882,0.0,0.00556773108421,0.0419294993221,0.0687360256256,0.160899060995
51353,4371.0,9,1.5,20.0,3.0,28124.0,0.0,112.184053139,109.529548597,104.80547345,125.878579667,110.25,139.146986643,80.0546153846,123.178261918,99.9586922732,25567.3805139,93.0,9.0,81.0,8649.0,5,0.0487467085665,0.0743951060299,0.0767468421564,0.329875720099,0.0,0.179389731648,0.0371940867618,0.0612520826082,0.192399722131
51362,4372.0,9,2.0,20.0,4.0,41956.0,1.0,114.023424913,172.587190672,98.2128485391,115.936367245,115.666734629,125.370068577,104.166642728,124.933333333,109.888081466,35860.3522342,93.0,9.0,81.0,8649.0,8,0.11658312231,0.110271780378,0.0367473895689,0.260932607442,0.0384747934716,0.221925058463,0.0431104841391,0.0470479376105,0.124906826618
51371,4373.0,9,2.1,20.0,4.0,107964.0,0.0,116.210536647,112.9,110.822201149,113.025584781,108.649725582,106.067830424,117.944837403,124.157824638,110.577005795,90304.765774,93.0,9.0,81.0,8649.0,10,0.0504973770911,0.19449753103,0.0323855845506,0.113251625044,0.100213896379,0.273712342803,0.105686990094,0.0666131661551,0.0631414868538
51380,4374.0,9,1.5,20.0,3.0,31184.0,0.0,114.13225261,143.4,100.060775682,113.88640051,110.25,151.837549013,107.105012545,122.8,100.698678501,30721.9708404,93.0,9.0,81.0,8649.0,7,0.104447182274,0.0,0.415247454008,0.274609970032,0.0,0.0660096627123,0.0165115988682,0.00126919076992,0.121904941335
51389,4375.0,9,1.9,20.0,2.0,17346.0,1.0,113.821290623,178.0,102.080962297,115.995134983,117.2,146.356609301,88.2751677348,116.072922169,114.331110737,16370.875832,93.0,9.0,81.0,8649.0,2,0.0995716845834,0.075258121913,0.051868383394,0.476625133932,0.0013798519559,0.0749618886366,0.0405493542392,0.0708450871381,0.108940494209
51398,4376.0,9,1.9,20.0,2.0,16271.0,1.0,114.5,178.0,103.22173913,99.7367231639,117.2,110.2,106.760507042,119.7,118.637251626,6150.99946506,93.0,9.0,81.0,8649.0,1,0.00808421167773,0.211708092809,0.114468631538,0.378848812277,0.00844668998575,0.0159493569031,0.166650687156,0.0,0.0958435176543
51407,4377.0,9,1.0,20.0,1.0,53296.0,0.0,113.92412461,107.5,106.285152403,124.262601984,117.0,153.2,108.007737706,122.8,98.0746260008,44104.4806813,93.0,9.0,81.0,8649.0,9,0.0898677906061,0.00105964515486,0.0860852605145,0.532469400354,0.000191205259291,0.0305461311556,0.0293552143417,0.101338059953,0.129087292662
51416,4378.0,9,1.5,20.0,3.0,22953.0,0.0,115.436393135,110.831664884,107.417469095,116.519162017,109.613006325,145.042159383,99.0724516841,116.784584179,112.667867546,24909.0573059,93.0,9.0,81.0,8649.0,5,0.179201339069,0.0112696373591,0.0491917415227,0.526544111476,0.0211707788941,0.0404298639406,0.0399009340867,0.0247349479344,0.107556645718
51425,4379.0,9,1.5,20.0,3.0,30833.0,0.0,115.018296412,109.297760163,118.808275783,111.24887805,105.891891892,148.106299078,112.276347826,122.8,114.833245885,31334.2225363,93.0,9.0,81.0,8649.0,7,0.234770741858,0.040475307538,0.115374807717,0.287383696084,0.00663856310734,0.0410368060482,0.0201352470598,0.164674480018,0.0895103505685
51434,4380.0,9,1.0,20.0,1.0,11975.0,1.0,115.056134081,178.0,102.5,121.652058255,92.5907962808,116.801331788,113.547670248,122.8,102.10750136,31063.5056128,93.0,9.0,81.0,8649.0,7,0.0655106443347,0.0878363512872,0.00510664948085,0.269617796676,0.113757658461,0.351193789435,0.0249564059355,0.0452355803763,0.0367851240118
51443,4381.0,9,1.0,20.0,1.0,23104.0,0.0,114.30123278,112.9,107.045676476,114.813936735,117.2,153.2,112.471925134,120.497046842,108.15684422,20228.5714834,93.0,9.0,81.0,8649.0,3,0.0725607757899,0.00557202269366,0.0277629002854,0.568931648412,0.00848697232118,0.0563345791942,0.0202868411797,0.0815882181528,0.158476041972
51452,4382.0,9,1.5,20.0,2.0,35044.0,1.0,110.341597944,178.0,103.320772033,116.749939467,113.367088608,113.987257019,110.985398496,117.649354536,115.065631173,24620.5309846,93.0,9.0,81.0,8649.0,5,0.10798593295,0.0627776168213,0.0537073222451,0.37298560251,0.024052471038,0.0324565449936,0.0748399927216,0.16625207944,0.10494243728
51461,4383.0,9,2.1,20.0,4.0,44908.0,1.0,114.708361086,145.565922595,107.664709654,116.007129072,109.902648691,142.783333333,120.739590444,124.848131102,111.899583459,32779.3756824,93.0,9.0,81.0,8649.0,7,0.142022136232,0.0758268470888,0.350948671423,0.266757934095,0.00105008543215,0.013539184254,0.0373633386678,0.0319114213856,0.0805803814222
51470,4522.0,9,2.0,20.0,4.0,45127.0,0.0,116.660938376,143.4,98.8891758366,137.5486977,117.175146035,138.096927322,117.88916938,124.45471594,106.641997631,47402.8438457,93.0,9.0,81.0,8649.0,9,0.0585920579025,0.0,0.0994985791585,0.268639164696,0.00310173402169,0.284916817486,0.117797506152,0.10754675181,0.0599073887748
51479,4523.0,9,1.5,20.0,3.0,27379.0,0.0,114.887042076,112.9,105.796007636,132.74462823,96.5000000002,151.874911661,124.669965257,115.998016209,106.614967656,28134.8349472,93.0,9.0,81.0,8649.0,6,0.184005625759,0.00391935465855,0.0322252129365,0.313553747102,0.0350170987812,0.0347208837452,0.153490668974,0.183609413477,0.0594579945655
51488,4524.0,9,2.0,20.0,4.0,42378.0,0.0,113.268753709,112.281443301,103.95310691,133.178372093,104.838422492,108.68594349,116.830020619,119.904854369,110.296680188,30141.38894,93.0,9.0,81.0,8649.0,6,0.115638718913,0.0199060565459,0.0195726509646,0.297382838415,0.0238234104155,0.302464494909,0.0441394104045,0.0640599500539,0.113012469379
51497,4525.0,9,1.5,20.0,3.0,15250.0,0.0,114.629943869,110.160481407,104.091577099,180.817186208,96.5,146.286816512,112.52382233,122.8,112.323004212,33482.4760928,93.0,9.0,81.0,8649.0,7,0.0900756269744,0.0780740033894,0.088246209938,0.577886032866,0.00783574873129,0.0416806869119,0.0300624215435,0.0271728495965,0.0589664200492
51506,4526.0,9,1.0,20.0,1.0,9018.0,0.0,114.433957139,143.4,107.875781189,139.045836969,96.5,153.2,109.301542506,119.7,112.782019677,24579.0103971,93.0,9.0,81.0,8649.0,5,0.294628635462,0.0,0.0245922491832,0.485875652418,0.00714787445358,0.021908311736,0.0224584977073,0.0,0.143388779041
51515,4527.0,9,1.8,20.0,4.0,20304.0,0.0,113.825000049,106.031529941,103.552455225,114.95,117.2,130.520396559,114.000942055,119.7,107.67517498,21453.2890526,93.0,9.0,81.0,8649.0,4,0.139273032359,0.0203963511274,0.0446805297139,0.310932989074,0.000296387819613,0.411444942908,0.0150824732106,0.0,0.0578932937875
51524,4528.0,9,1.5,20.0,3.0,20542.0,0.0,115.775073196,108.477323715,104.071737202,115.867798824,110.25,153.2,109.841978169,122.8,109.047608983,24337.6668463,93.0,9.0,81.0,8649.0,5,0.106225994214,0.0614363618413,0.0518937906008,0.524525912571,0.0,0.0179770213017,0.0783349509601,0.0797058314817,0.0799001370291
51533,4529.0,9,1.5,20.0,3.0,37138.0,0.0,114.905313113,143.4,106.306287082,111.910042099,96.5,108.855456853,119.018861722,123.048234326,102.159631346,67386.2331361,93.0,9.0,81.0,8649.0,10,0.0718951697007,0.0,0.187507498761,0.200845744535,0.00572883182037,0.20182443647,0.0276664921464,0.205083492603,0.0994483339635
51542,4530.0,9,2.0,20.0,4.0,21090.0,0.0,115.282282184,106.401221027,105.177585143,130.951094804,103.388440954,121.3,112.587586516,119.7,101.189048335,15730.3632127,93.0,9.0,81.0,8649.0,2,0.215083311685,0.0930334560622,0.00833503820744,0.559818532837,0.0199428273709,0.0,0.0353841249892,0.0,0.068402708849
51551,4531.0,9,1.0,20.0,1.0,16316.0,0.0,108.146400255,109.527710913,106.2,124.246719501,110.25,153.2,112.1,122.8,114.118033422,22835.7827418,93.0,9.0,81.0,8649.0,4,0.0467661917725,0.0499604602622,0.0,0.702613179395,0.0,0.063373234797,0.0328661051802,0.0106718590818,0.0937489695122
51560,4532.0,9,2.4,20.0,5.0,41207.0,0.0,114.172952173,143.4,104.712595411,133.441970585,116.059633028,153.2,108.535654873,122.8,108.531971854,22762.0043728,93.0,9.0,81.0,8649.0,4,0.158808805704,0.0,0.332479187783,0.328452868817,0.0140218738079,0.0431496944884,0.038963787081,0.0112417726819,0.072882009636
51569,4533.0,9,1.5,20.0,3.0,16245.0,0.0,114.509572687,143.4,111.6,164.901347352,96.5,121.3,112.1,119.7,116.558751,21246.4748779,93.0,9.0,81.0,8649.0,3,0.10166362827,0.0,0.0252425173394,0.640804676791,0.0538038042124,0.0,0.0134963385992,0.0,0.164989034787
51578,4534.0,9,1.5,20.0,3.0,18277.0,0.0,114.863394276,107.5,106.2,113.182000663,110.25,153.2,112.120402326,119.7,110.426738562,41361.8544991,93.0,9.0,81.0,8649.0,9,0.0364791737749,0.0115132474752,0.0,0.763113225107,0.0,0.0677577939071,0.0742011893995,0.0,0.0469353703353
51587,4535.0,9,2.0,20.0,4.0,29444.0,1.0,112.983689355,156.833321162,105.321346026,113.328341638,96.5,128.29278158,111.673303765,122.8,109.293479219,31735.8762939,93.0,9.0,81.0,8649.0,7,0.103582468478,0.0579088785594,0.140806688078,0.39054054379,0.00855943780681,0.169602703541,0.0395592546041,0.0135239258083,0.0759160993322
51596,4536.0,9,1.5,20.0,3.0,21119.0,0.0,113.281363369,143.4,103.35751513,121.596026973,110.25,121.3,118.820782376,119.7,114.335647051,15093.1373698,93.0,9.0,81.0,8649.0,1,0.260290743458,0.0,0.0907322737491,0.505213426954,0.0,0.0,0.0818464881349,0.0,0.0619170677042
51605,4537.0,9,1.5,20.0,3.0,33155.0,0.0,111.597042025,112.9,104.027023936,135.703928937,110.25,132.647450084,120.60272166,122.8,112.972854314,22406.8989362,93.0,9.0,81.0,8649.0,4,0.129113058838,0.00237202488103,0.0652208040915,0.363070038743,0.0,0.0763080486898,0.197915412959,0.0683801561031,0.0976204556959
51614,4538.0,9,2.0,20.0,2.0,54514.0,0.0,114.875707006,143.4,104.650628916,134.142448648,110.25,152.137609998,110.661797333,115.965712092,107.740759974,62491.963913,93.0,9.0,81.0,8649.0,10,0.118017043437,0.0,0.0666597706741,0.184313912343,0.0,0.0688406471393,0.0473100260076,0.401708665129,0.11314993527
51623,4539.0,9,2.0,20.0,4.0,41340.0,1.0,114.284100206,163.641422146,100.761207985,187.023967595,117.0,143.506273467,103.265895092,122.8,102.203456416,42485.3496514,93.0,9.0,81.0,8649.0,9,0.0924069911714,0.0644002028587,0.0520071564847,0.495650125708,0.00860132677415,0.104045941441,0.0773863362701,0.0224855160807,0.0830164032115
51632,4540.0,9,1.8,20.0,4.0,31703.0,1.0,113.179590506,178.0,103.708003428,114.458214855,117.2,111.322241882,110.372494505,115.151387488,97.3403447185,50262.8170567,93.0,9.0,81.0,8649.0,10,0.0842483184175,0.0303860962957,0.0786565550362,0.361389807837,0.000411140984509,0.244758081506,0.0263182160574,0.0712317980525,0.102599985814
51641,4541.0,9,1.5,20.0,3.0,29506.0,1.0,114.163290839,149.988686256,107.071441952,114.677363184,110.25,139.27093118,111.077256228,122.8,111.556115131,32980.6950663,93.0,9.0,81.0,8649.0,7,0.0816073550064,0.0609051097495,0.063884175082,0.304900546529,0.0,0.0676534964169,0.0733351812744,0.113596311838,0.234117824105
51650,4542.0,9,1.0,20.0,1.0,22071.0,0.0,114.421990393,143.4,122.253365797,145.395241761,110.25,121.3,113.17,122.8,117.131342743,21463.5057194,93.0,9.0,81.0,8649.0,4,0.152927880858,0.0,0.0211123532663,0.63069927776,0.0,0.0,0.0102243893376,0.0262019267599,0.15883417202
51659,4543.0,9,2.3,20.0,4.0,42301.0,0.0,113.260468372,106.560961061,106.9,132.251124972,110.25,149.426415095,112.1,122.8,101.613390405,10130.2310605,93.0,9.0,81.0,8649.0,1,0.0597062295903,0.0982270925181,0.00680831008235,0.401617960078,0.0,0.0883344097832,0.0257836844659,0.161284698063,0.158237615419
51668,4544.0,9,1.5,20.0,3.0,18362.0,0.0,112.346364109,143.4,98.8735566806,111.121582833,106.446885794,121.3,112.469691958,119.7,110.492854471,22704.5452447,93.0,9.0,81.0,8649.0,4,0.210616811069,0.0,0.114581676814,0.45715480331,0.126661630539,0.0,0.0194959983057,0.0,0.0714890799622
51677,4627.0,9,1.0,20.0,1.0,25896.0,0.0,113.252205966,112.9,99.3139511213,115.783029197,98.8584070797,118.3,80.7507446654,121.18402567,106.759108543,31536.3935446,93.0,9.0,81.0,8649.0,7,0.0798454630286,0.1002490012,0.0833397304164,0.289780546251,0.0201445562199,0.0430980129294,0.114937682985,0.200049419343,0.0685555876262
51686,4628.0,9,2.1,20.0,4.0,20444.0,0.0,113.654569208,112.9,104.060641446,114.242041523,98.7732074991,121.3,97.9815585263,117.793155067,99.1819849483,23515.2418803,93.0,9.0,81.0,8649.0,4,0.121213304416,0.00147526952459,0.143345988893,0.48797749906,0.0473171934702,0.0,0.0469903402265,0.0781969888335,0.0734834155755
51695,4629.0,9,1.5,20.0,3.0,29260.0,0.0,112.789646539,112.9,104.422929309,114.496407971,96.5,145.546938776,114.762831071,125.293036212,106.235085234,24648.2687815,93.0,9.0,81.0,8649.0,5,0.137366089138,0.0133221332798,0.0862140306794,0.430074518686,0.00304119034416,0.0343106045257,0.0804301512515,0.05460729388,0.160633988216
51704,4630.0,9,1.8,20.0,4.0,87179.0,0.0,114.220786162,107.5,107.232559476,113.011929043,104.072233176,140.280450601,117.496912454,118.989648033,109.637899936,46186.6807539,93.0,9.0,81.0,8649.0,9,0.138286437296,0.0032626871629,0.200282713869,0.292587043236,0.00159945777842,0.0606270715374,0.148451580395,0.0326732066857,0.12222980204
51713,4631.0,9,1.5,20.0,3.0,24277.0,1.0,110.643609846,163.37753849,104.300303019,115.39781497,96.5,132.762867316,115.97233137,122.8,111.818203638,20667.2041103,93.0,9.0,81.0,8649.0,3,0.0909458452966,0.02401725536,0.0354729540157,0.433909726417,0.0113343943105,0.155974427475,0.0549427903889,0.055958897707,0.13744370903
51722,4632.0,9,1.5,20.0,3.0,38208.0,0.0,114.828667957,143.4,103.815926535,116.456998314,110.25,107.324637809,126.969972452,119.7,96.8100883946,27423.3163378,93.0,9.0,81.0,8649.0,6,0.062132765029,0.0,0.279554657571,0.360608047784,0.0,0.224152651844,0.0193657102554,0.0,0.0541861675183
51731,4633.0,9,2.6,20.0,4.0,78078.0,0.0,112.228593139,109.697620154,105.14168371,114.139010427,96.5,116.994226119,119.027153584,117.994103683,112.342402899,62089.0011336,93.0,9.0,81.0,8649.0,10,0.0903016011169,0.019320159957,0.0543460305422,0.189470501348,0.000870649339867,0.382723886017,0.109783663377,0.082087389178,0.0710961191246
51740,4634.0,9,1.8,20.0,4.0,54783.0,0.0,114.090278408,143.4,104.580977855,114.287233076,110.25,114.496909124,125.304661702,121.936747405,105.273899126,45032.3591265,93.0,9.0,81.0,8649.0,9,0.0656276755706,0.0,0.0621555288302,0.226408922314,0.0,0.248530993186,0.116604335133,0.133672868067,0.1469996769
51749,4635.0,9,1.5,20.0,3.0,57578.0,0.0,112.900827515,143.4,127.3,116.760898846,101.97861987,110.2,93.3767295596,122.8,113.995433112,30815.1641878,93.0,9.0,81.0,8649.0,7,0.0672899400609,0.0,0.187671160157,0.676331093729,0.00750934710705,0.00873733170232,0.0150976520487,0.00653765376005,0.0308258214353
51758,4636.0,9,1.8,20.0,4.0,35190.0,0.0,111.273851071,143.4,99.3116917534,115.853115265,117.0,150.092838408,77.1037364139,122.8,110.122125588,22527.0472493,93.0,9.0,81.0,8649.0,4,0.0304188501375,0.0,0.0660503976028,0.396050172596,0.071195896062,0.0774827745798,0.0435263581973,0.0143039557464,0.300971595077
51767,4637.0,9,2.0,20.0,2.0,87193.0,1.0,113.092874558,155.874408817,104.175975268,116.472041344,102.707096206,112.016882396,118.845057497,124.591417859,107.46928398,78933.2148186,93.0,9.0,81.0,8649.0,10,0.0423143589118,0.029090483908,0.141267090639,0.127753231571,0.0178916561381,0.25585328273,0.138692649847,0.171019507633,0.0761177386213
51776,4638.0,9,1.0,20.0,1.0,17309.0,0.0,116.66869773,112.574193548,103.734532374,115.538310269,110.25,110.920264317,120.369699164,122.8,105.573179124,52786.4918893,93.0,9.0,81.0,8649.0,10,0.0298029688443,0.215264230283,0.0139237834337,0.21687946637,0.0,0.278325524214,0.166247751775,0.0184668650422,0.0610894100373
51785,4641.0,9,1.5,20.0,3.0,43458.0,0.0,113.832929976,102.8,106.000091792,113.567676767,110.25,149.234473745,91.7469101667,125.408695652,105.103520831,20382.1697498,93.0,9.0,81.0,8649.0,3,0.171377564122,0.031756473992,0.0341945217345,0.364500382988,0.0,0.0640602636994,0.183348250169,0.0282051744698,0.122557368826
51794,4642.0,9,1.5,20.0,3.0,47704.0,0.0,114.123215556,143.4,103.184420226,114.830121065,117.0,121.232717326,86.730864755,118.841209642,106.415673751,56991.3790073,93.0,9.0,81.0,8649.0,10,0.0579297833108,0.0,0.108849254007,0.201414313519,0.0213306835718,0.251160947093,0.113695504428,0.0295861560697,0.216033358002
51803,4643.0,9,1.5,20.0,3.0,16100.0,1.0,114.395617214,132.689677499,106.89861984,116.084680298,110.25,121.3,115.069342194,119.7,107.910336485,31248.02075,93.0,9.0,81.0,8649.0,7,0.234613719582,0.132963360864,0.122245751883,0.411064419785,0.0,0.0,0.0203050314718,0.0,0.0788077164154
51812,4644.0,9,3.3,20.0,5.0,47085.0,0.0,113.267591276,107.5,103.668817664,113.739276258,110.25,112.853055943,84.8945047646,117.129896924,102.026195251,34429.2934996,93.0,9.0,81.0,8649.0,7,0.100891472575,0.00407307421365,0.191838395758,0.166298584987,0.0,0.162720912579,0.117340611767,0.133157503181,0.12367944494
51821,4645.0,9,3.2,20.0,4.0,68312.0,0.0,114.171299824,107.5,103.478955202,115.159885249,96.5000000002,114.073332938,102.059305431,124.238229755,103.856386327,28625.2473851,93.0,9.0,81.0,8649.0,6,0.0915703111943,0.00265106052163,0.205132150034,0.271324956202,0.0323446658971,0.181536043453,0.054604555561,0.0869356515269,0.0739006056113
51830,4646.0,9,1.5,20.0,3.0,55262.0,0.0,112.75975501,112.9,96.3433296894,116.189826692,101.300482353,143.83469648,97.7383983368,122.8,115.644873639,28084.579715,93.0,9.0,81.0,8649.0,6,0.0517655129033,0.0108437366655,0.0404652837234,0.509936822178,0.0125867286885,0.0526434162088,0.0519731237395,0.0533991925417,0.216386183351
51839,4647.0,9,1.5,20.0,3.0,14331.0,0.0,111.610340131,112.9,108.501183093,114.854330906,110.25,110.2,115.710406092,122.8,102.300889324,21456.4561095,93.0,9.0,81.0,8649.0,4,0.118160466838,0.0405589013143,0.0140353740442,0.773914559996,0.0,0.0096525478821,0.0268648863336,0.00582456344761,0.0109887001456
51848,4648.0,9,1.0,20.0,1.0,15366.0,0.0,117.310650914,112.9,127.3,112.42815961,110.25,105.4,112.1,119.7,109.93538953,16987.9303966,93.0,9.0,81.0,8649.0,2,0.0129641837811,0.0134856697978,0.0710941717321,0.753422535293,0.0,0.0457183714722,0.0300990983004,0.0,0.0732159696208
51857,4649.0,9,1.5,20.0,2.0,13921.0,1.0,113.032024728,177.586890568,104.072427182,112.920647773,96.5,137.193822394,100.409310775,121.080130336,106.861460732,31302.0939527,93.0,9.0,81.0,8649.0,7,0.090847604168,0.126097961123,0.151936718834,0.318010170228,0.000778287390862,0.0571222197948,0.0841126762877,0.0490282463946,0.12206611578
51866,4747.0,9,2.1,20.0,4.0,37254.0,0.0,114.211078206,143.4,105.954848295,124.799899215,111.203831219,138.826927054,110.602809213,114.0,109.479892444,25954.4181511,93.0,9.0,81.0,8649.0,5,0.139090075687,0.0,0.0870272482352,0.531267962596,0.0521505322209,0.0545272622427,0.0740724675231,0.021977733267,0.039886718229
