,ident_men,w1,w2,w3,p1,p2,p3,depenses_par_uc,depenses_tot,typmen,fumeur,strate,dip14pr,agepr,situapr,situacj,stalog,nenfants,nactifs,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris
8369,10158,0.06645670707087895,0.11703650432463959,0.8165067886044814,133.8,116.481179515,109.64941745,41265.67615599859,86657.91992759705,4,0,0,33,41,1,1,1,2,2,0,0,0,0,0
8370,10159,0.0,0.42035940223532253,0.5796405977646775,133.8,115.17301353,107.968814752,5816.477788289388,10469.660018920898,5,0,0,70,70,5,0,3,1,1,0,0,0,0,0
8371,10160,0.03266955220489202,0.15024283041082867,0.8170876173842793,133.8,116.403832116,130.855977917,17062.291312839676,39243.27001953125,4,0,0,41,46,1,1,1,2,2,0,0,0,0,0
8372,10161,0.0,0.22893803037436064,0.7710619696256393,133.8,115.667207998,116.602501533,17295.626707394917,25943.440061092377,2,0,0,70,67,5,0,1,1,0,0,0,0,0,0
8373,10162,0.05044183801350794,0.17335632630801495,0.7762018356784771,133.8,115.78713436,110.061001141,19071.46999168396,19071.46999168396,1,0,0,50,56,1,0,1,0,1,0,0,0,0,0
8374,10163,0.04549737945951667,0.13789445570840303,0.8166081648320803,133.8,114.890847461,118.083241744,20024.009928703308,20024.009928703308,1,1,0,50,32,1,0,3,0,1,0,0,0,0,0
8375,10228,0.0,0.30708468607156875,0.6929153139284312,133.8,116.565471438,111.502345704,6375.440022786458,9563.160034179688,3,0,0,71,52,1,6,3,0,1,0,0,0,0,0
8376,10229,0.0,0.30164936885147703,0.698350631148523,133.8,115.874451968,124.071302002,5609.426686604817,8414.140029907227,2,0,0,70,78,6,0,1,1,0,0,0,0,0,0
8377,10230,0.0,0.15703870002250048,0.8429612999774996,133.8,115.809336745,109.873380808,7713.640001296997,7713.640001296997,1,0,0,71,81,6,0,1,0,0,0,0,0,0,0
8378,10231,0.058577098730906905,0.1328455110813817,0.8085773901877114,133.8,117.121453827,118.544674856,11495.959996541342,17243.93999481201,2,0,0,70,56,5,0,1,1,1,0,0,0,0,0
8379,48,0.02110603998719137,0.11620240863687965,0.862691551375929,145.1,112.91043075,113.633745921,14178.880071640015,14178.880071640015,1,0,4,20,29,1,0,3,0,1,0,0,0,0,0
8380,49,0.03504781794218324,0.060752686959175004,0.9041994950986417,145.1,115.543407199,110.109250134,25519.41993077596,38279.12989616394,3,1,4,20,28,1,4,3,0,2,0,0,0,0,0
8381,50,0.029656426488553874,0.23049633785627116,0.739847235655175,145.1,114.180388856,113.098405521,21917.677783966064,39451.820011138916,4,0,4,20,53,1,1,2,1,2,0,0,0,0,0
8382,51,0.0,0.07821490354106195,0.921785096458938,145.1,113.332237688,115.015963964,26291.54286838713,55212.240023612976,4,1,4,20,38,1,1,3,2,2,0,0,0,0,0
8383,52,0.0,0.34890118038023193,0.651098819619768,145.1,115.849933132,114.339849343,24847.226715882618,37270.84007382393,3,1,4,50,57,1,1,1,0,2,0,0,0,0,0
8384,53,0.0,0.044671002571057696,0.9553289974289423,145.1,113.312984664,113.2507982,19364.239763736725,19364.239763736725,1,1,4,20,23,1,0,3,0,1,0,0,0,0,0
8385,54,0.0,0.1629510362771627,0.8370489637228373,145.1,111.99627986,115.82267386,21616.79994392395,21616.79994392395,1,1,4,71,57,1,0,5,0,1,0,0,0,0,0
8386,55,0.0,0.1190715557499287,0.8809284442500713,145.1,114.027724426,110.339082046,14323.319986343384,14323.319986343384,1,1,4,20,33,4,0,3,0,1,0,0,0,0,0
8387,56,0.0,0.28928831674704825,0.7107116832529518,145.1,113.769588433,117.270468559,14826.800012588501,14826.800012588501,1,1,4,60,58,7,0,3,0,0,0,0,0,0,0
8388,57,0.0027266229018773915,0.19761193462410273,0.7996614424740198,145.1,115.308067801,111.988612082,25110.42674255371,37665.64011383057,3,0,4,31,47,1,6,1,0,1,0,0,0,0,0
8389,58,0.0,0.1720743648349337,0.8279256351650663,145.1,115.612176698,112.963539551,22079.833456675213,33119.75018501282,3,0,4,20,28,1,1,3,0,2,0,0,0,0,0
8390,59,0.04566894979540408,0.01528312088183974,0.9390479293227562,145.1,114.8953375,112.577864152,39686.92008590698,39686.92008590698,1,0,4,20,26,1,0,3,0,1,0,0,0,0,0
8391,60,0.0,0.12332029057046057,0.8766797094295394,145.1,112.425179776,110.758976676,14883.520014762878,14883.520014762878,1,0,4,20,26,1,0,5,0,1,0,0,0,0,0
8392,61,0.0,0.17427771210818513,0.8257222878918149,145.1,116.851867544,115.672798297,11460.10001540184,11460.10001540184,1,0,4,71,56,7,0,1,0,0,0,0,0,0,0
8393,62,0.03444789347814507,0.08972636385216674,0.8758257426696882,145.1,115.525810914,112.807488582,16841.99998946417,35368.199977874756,4,0,4,20,52,1,1,1,2,2,0,0,0,0,0
8394,63,0.0,0.15825087222593012,0.8417491277740698,145.1,114.004840984,118.095716895,14805.099941253662,14805.099941253662,1,1,4,30,34,1,0,2,0,1,0,0,0,0,0
