v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
980,6060,.0964606,.0357275,.1434295,.7243823,185.1409,146.3307,125.5393,124.8863,13477,26954,4,71,51,1,4,1,3,24,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.162328,.2371497,1.006173,1.014786,-1.250303,.0779832,-.1561154,.1661069,.270768,.5927404,.3061873,-1.406846,-.0870322,.0441601,.0442639,-1.007565,.0372089,-.0976844,-.2010798,-.7532312
981,6061,0,.0086376,.1209259,.8704365,160.4695,105.77,124.691,126.8322,17366,17366,1,70,74,5,0,0,0,24,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,-2.155374,1.007322,1.012305,,,,,1.12355,5.523966,1.255332,-5.747472,-.1032367,.0525268,.2386211,-1.195233,.0309515,-.0810437,-.1672963,-.794917
982,6062,0,.0303269,.0453691,.924304,185.1409,135.53,122.9912,137.7774,9159.444,16487,4,50,45,1,4,1,2,24,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.1013015,1.019516,1.011588,,,,,.3210613,.8662463,.3448091,-1.633418,-.2751882,.1398276,2.301676,-3.185831,.0291341,-.0764252,-.1573823,-.8069148
983,6064,.0527955,.0156017,.1410586,.7905442,160.4695,105.77,124.7883,113.7517,19698.67,29548,3,31,50,1,4,0,2,24,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.296584,-.746906,1.006277,1.013549,-1.456766,.1462368,-.2888638,.3028089,.6167916,2.625205,.7225477,-3.217639,-.0884833,.0449819,.0617392,-1.024515,.0341201,-.0893375,-.184417,-.7739147
984,6068,0,.0393096,.0498783,.910812,185.1409,105.77,119.6247,127.2974,26304,26304,1,43,50,1,0,0,1,24,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,.3066642,1.017752,1.01176,,,,,.2449859,.4339927,.2699256,-1.255568,-.2502404,.1273348,2.003087,-2.897933,.0296116,-.077459,-.1597799,-.8041326
985,6078,.1887107,.0043532,.0978742,.7090619,160.4695,105.77,124.3941,122.4081,13783,13783,1,20,24,1,0,0,1,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.082975,-5.260872,1.009046,1.015106,-1.127959,.0413412,-.0799003,.0835434,2.223422,11.96031,2.520563,-11.44342,-.1275429,.0648757,.5303035,-1.476683,.03801,-.0995257,-.2054428,-.7481475
986,6079,0,.067402,.0509804,.8816177,160.4695,105.77,127.8177,124.4539,10880,16320,2,33,42,1,0,1,1,24,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,.5956385,1.017368,1.012149,,,,,.1436482,-.1633521,.1634735,-.7394081,-.2448639,.1245682,1.937909,-2.834981,.0305691,-.0800339,-.1652527,-.7974318
987,6087,0,.0261102,.2950241,.6788657,160.4695,116.637,126.4137,123.4046,18690,28035,3,50,73,5,6,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,-.043835,1.003001,1.015778,,,,,.3715768,1.165957,.4221916,-1.915891,-.0423149,.0215077,-.4923276,-.4898663,.0396874,-.1040307,-.2146105,-.7368241
988,6092,.0035652,.0169689,.0888211,.8906448,160.4695,105.77,124.536,121.2776,16206.11,29171,4,12,30,1,1,1,2,24,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5.391995,-.6061588,1.009969,1.012026,-7.771904,2.185363,-4.235861,4.430406,.5699627,2.325884,.6490416,-2.93873,-.14054,.0714816,.686265,-1.627175,.0302639,-.0792425,-.1635756,-.7994719
989,6094,.0802448,.0825082,.2548031,.5824439,160.4695,187.8199,125.6737,149.0258,16200.42,38881,4,50,33,1,1,3,2,24,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.195131,.669672,1.003475,1.01839,-1.30289,.0936965,-.1833915,.1974537,.1206437,-.3102374,.1253535,-.6054318,-.0490265,.0248571,-.4121042,-.5672014,.0460875,-.1214939,-.2496793,-.6933042
