,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22
66,11114801000,0.013012448625821512,0.012278413062313632,0.21349090681551025,0.7612182314963546,127.793168322,96.2,115.684404711,111.637554717,16650.72215822008,29971.299884796143,4,20,35,1,1,1,2,18,1.0,0.0,1,1.0,0.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
67,11114901000,0.0,0.11129883239130099,0.22907403943257365,0.6596271281761253,136.951835499,99.6090545939,116.180706435,113.460005841,6747.599987030029,6747.599987030029,1,70,84,5,0,0,0,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
68,11115001000,0.027757271898047352,0.05972544754832703,0.10160073786552119,0.8109165426881044,146.110502675,105.499798252,117.752485396,107.572466441,24897.260063171387,24897.260063171387,1,31,39,1,0,0,1,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
69,11115101000,0.0,0.09120321791244781,0.1827406481816281,0.726056133905924,136.951835499,113.154966887,115.020452612,114.731307972,6622.573345820109,9933.860018730164,3,71,28,4,6,0,1,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
70,11115201000,0.01979917524876455,0.06982274339269777,0.16659071961635824,0.7437873617421794,146.110502675,105.133333333,116.449040206,111.189419299,34029.02671178182,51043.54006767273,3,50,75,5,5,0,0,18,0.0,1.0,0,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
71,11131301000,0.0,0.15030663786469947,0.2259141266145288,0.6237792355207717,136.951835499,107.196183206,117.640198102,114.846735739,20917.239881515503,20917.239881515503,1,60,76,5,0,0,0,18,0.0,0.0,0,0.0,0.5,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
72,11131501000,0.05516320549044372,0.011372106978029936,0.06044953760582897,0.8730151499256974,146.110502675,96.2,118.37838423,109.447477081,23566.43324915568,35349.64987373352,3,20,27,1,1,0,2,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
73,11131601000,0.012539291738320774,0.038565848033363694,0.17538835379461365,0.7735065064337019,127.793168322,96.2,116.413671673,109.309789271,19291.680021047592,48229.20005261898,4,20,42,1,1,2,2,18,1.0,0.0,1,1.0,0.0,2005,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
74,11132001000,0.05262326975266469,0.02904092679883987,0.13955680029980105,0.7787790031486944,136.951835499,96.2,117.496273511,113.180823694,47978.266774495445,71967.40016174316,3,20,71,5,5,0,0,18,1.0,1.0,1,2.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
75,11132301000,0.0,0.03362426710485772,0.11832555476284197,0.8480501781323003,146.110502675,96.2,118.363092313,111.870000003,19129.764291763306,19129.764291763306,1,31,79,5,0,0,0,18,0.0,1.0,1,1.0,1.0,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
76,11132401000,0.0,0.018767569635993915,0.12431651375523953,0.8569159166087665,136.951835499,96.2,116.77754198,110.573115717,30051.840005874634,30051.840005874634,1,50,62,5,0,0,0,18,0.0,0.0,1,0.0,0.5,2005,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
