,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16
55,57,0.0,0.01436868305928496,0.06932606728013276,0.9163052496605822,140.625957518,92.9,102.885380117,103.537198391,70709.33333333333,106064,3,20,59,1,6,0,1,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
56,58,0.0,0.03162397051462893,0.184147062838422,0.7842289666469491,121.290671929,92.9,104.612033605,100.510925442,21977.0,21977,1,71,80,5,0,0,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
57,59,0.0,0.06415885052883656,0.16797046497705048,0.767870684494113,140.625957518,92.9,102.987893549,101.089326368,23861.90584554699,50110,4,10,45,1,1,2,2,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
58,60,0.0,0.06723404255319149,0.06065764023210832,0.8721083172147002,121.290671929,92.9,103.008545918,102.297072392,12925.0,12925,1,41,30,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
59,61,0.0,0.006674319886803535,0.10484021678190993,0.8884854633312865,140.625957518,92.9,104.003004838,101.409182692,24971.333333333332,37457,3,31,33,1,1,0,2,9,0,1,1,1,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
60,62,0.054736748646009054,0.04257302672467371,0.1710023972298677,0.7316878273994495,121.290671929,92.9,105.193328141,101.275227521,9793.913246526163,22526,4,42,40,1,1,2,2,9,1,1,1,2,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
61,63,0.028400940960468184,0.010499741809627632,0.028687819151988064,0.9324114980779161,140.625957518,92.9,102.6502,102.09435727,17429.0,17429,1,70,56,4,0,0,0,9,0,1,1,1,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
62,64,0.08484555000509736,0.010424100316036293,0.08362218370883882,0.8211081659700276,101.955386339,92.9,102.365528802,101.853297948,26157.333333333332,39236,3,10,35,1,3,0,1,9,1,0,1,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
63,65,0.03288680290733679,0.023434698999380724,0.10618949838662364,0.8374889997066588,121.290671929,115.509874826,102.67053407,102.486421483,20454.0,30681,5,50,33,1,0,0,2,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
64,66,0.0559048178613396,0.05123384253819036,0.0341069330199765,0.8587544065804935,140.625957518,92.9,106.902239449,101.930562397,34040.0,34040,1,20,47,1,0,0,1,9,0,1,1,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
65,67,0.0,0.08041635961680177,0.1430545320560059,0.7765291083271924,121.290671929,92.9,104.932968448,102.083262159,7237.333333333333,10856,2,50,46,4,0,1,0,9,0,0,1,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
66,68,0.013734154539095423,0.024704417108832512,0.12850391551362325,0.8330575128384488,140.625957518,92.9,104.100730218,100.995459572,19537.666666666668,58613,4,10,53,1,1,3,2,9,0,2,1,2,1.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
67,70,0.0,0.019571494777369792,0.07354461516523475,0.9068838900573954,121.290671929,92.9,105.160397479,101.642898699,28051.0,28051,1,33,35,1,0,0,1,9,0,0,1,0,0.5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
68,71,0.027418796968839417,0.02568940037103418,0.10980096217337987,0.8370908404867465,140.625957518,122.714075887,104.131758305,101.829584554,21202.0,31803,2,10,55,1,0,1,1,9,0,1,0,1,1.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
69,72,0.0,0.05161879345459653,0.3029707142355503,0.6454104923098533,121.290671929,96.2537414966,102.645781178,100.49726877,10953.077324833404,14239,2,41,23,6,0,1,0,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
70,73,0.0,0.035611251352326,0.14469888207717274,0.8196898665705012,140.625957518,94.2772151899,102.928411215,101.106423229,11092.0,11092,1,70,62,1,0,0,1,9,0,1,0,1,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
71,74,0.0,0.04139959279089058,0.12721514214614282,0.8313852650629666,121.290671929,99.3098360656,103.693598103,100.477600907,13261.0,26522,2,41,56,1,0,2,1,9,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
72,75,0.04743724348573065,0.029111386847379975,0.1122140561865674,0.811237313480322,101.955386339,92.9,102.1178055,101.113589301,15715.5,31431,4,50,49,1,1,1,3,9,1,0,1,1,0.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
