v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,veh_tot,part_veh_essence,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_9,vag_10,vag_11,vag_12,vag_13,vag_14,vag_15,vag_16,elas_exp_1,elas_exp_2,elas_exp_3,elas_exp_4,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_1_4,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_2_4,elas_price_3_1,elas_price_3_2,elas_price_3_3,elas_price_3_4,elas_price_4_1,elas_price_4_2,elas_price_4_3,elas_price_4_4
4902,580,.0313435,.0216857,.1216412,.8253296,110.7094,92.9,104.2338,101.8601,33755,33755,1,50,65,5,0,0,0,13,1,0,1,1,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1.558661,.82122,-1.059586,1.287033,-.0630901,-.0686861,.2383025,-1.665357,-.1335159,4.51877,-1.091932,-4.114708,.0421037,-.2777168,3.002302,-1.706852,-.0382783,-.1014668,-.5702388,-.5770758
4903,581,.0981189,.0485114,.204052,.6493176,121.6767,92.9,103.9177,102.2199,18854.67,28282,3,50,67,5,1,0,1,13,1,1,1,2,.5,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.128684,.8662735,-.1083161,1.33884,-.6995308,-.024315,.0481129,-.4530257,-.0575998,1.464261,-.5206307,-1.752407,.0243741,-.1602524,1.451279,-1.206877,-.0487605,-.1300738,-.7387028,-.4213495
4904,582,,.1243703,.0969255,.7787042,121.6767,92.9,104.2443,101.7366,11514,11514,1,70,63,5,0,0,0,13,0,0,1,0,.5,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,,.9265211,-1.157978,1.267228,,,,,-.0218748,-.0397578,-.2127667,-.6521644,.0468512,-.328494,4.25166,-2.811573,-.0402782,-.1092663,-.6242867,-.4934382
4905,583,,.0844558,.2899196,.6256246,121.6767,92.9,106.0677,102.1345,12274.67,18412,3,60,55,1,6,0,1,13,0,0,1,0,.5,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,.9134073,.2432689,1.346743,,,,,-.032806,.414981,-.3027353,-.9929257,.0164782,-.1119763,.7466159,-.8941916,-.0504628,-.1351015,-.7736093,-.387633
4906,584,.0177952,.049721,.1946642,.7378196,110.7094,92.9,103.6366,102.0481,18010.5,36021,4,50,64,5,6,1,1,13,1,0,1,1,0,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.752437,.8839693,-.1640802,1.296799,.657575,-.1324281,.2869689,-2.56482,-.0569371,1.40505,-.5008473,-1.7313,.0223856,-.1675028,1.567788,-1.25845,-.0420476,-.1146867,-.6506476,-.4894435
4907,585,,.0171289,.0999904,.8828807,110.7094,103.9511,103.274,102.0674,27789.33,41684,3,10,72,5,5,0,0,13,1,0,0,1,0,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,,.5990431,-1.416619,1.263231,,,,,-.1639987,5.983879,-1.483242,-4.935719,.0471075,-.3006659,3.905936,-2.235704,-.0354809,-.0986756,-.5343797,-.5946991
4908,586,.0295896,.0285855,.1593957,.7824292,110.7094,92.9,103.8804,101.9913,14455.81,44813,4,50,50,1,1,4,2,13,1,0,1,1,0,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.488072,.9126545,-.4515126,1.280434,-.0040779,-.0779811,.1895569,-1.595737,-.1020378,3.188645,-.8137969,-3.185582,.0281419,-.2059593,2.123514,-1.494005,-.0396686,-.1081221,-.6137563,-.518913
4909,587,,.0446057,.1975063,.757888,132.6439,92.9,105.0443,101.8685,17083,17083,1,12,40,1,0,0,1,13,0,1,1,1,1,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,.8822937,-.2199115,1.309528,,,,,-.0632541,1.681432,-.548196,-1.952464,.0308075,-.1695171,1.499418,-1.140436,-.0431937,-.110441,-.6247899,-.5311696
4910,588,.0271775,.070645,.1654509,.7367266,132.6439,147.6751,104.8545,102.0389,20257.78,36464,4,50,46,1,1,1,2,13,0,1,0,1,1,2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.474919,.9343169,-.5054715,1.326871,.0834368,-.1132372,.1919628,-1.639164,-.0403518,.6971334,-.341785,-1.249855,.0363604,-.1212729,1.937669,-1.345317,-.0442638,-.1313266,-.6340364,-.5175575
4911,589,.0247619,.0504606,.1817018,.7430757,132.6439,96.57772,104.9898,100.9204,17791.67,32025,4,31,28,1,1,1,2,13,0,1,0,1,1,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1.473726,.9032372,-.4017766,1.333556,.189762,-.0998371,.1867929,-1.750897,-.0562218,1.37135,-.476697,-1.741819,.0362618,-.1804373,1.676533,-1.130226,-.0446961,-.1135843,-.6283368,-.5470006
