,quantite_carbu,quantite_diesel,quantite_essence,diesel_ttc,super_95_ttc,rev_disponible,rural,petite_villes,villes_moyennes,grandes_villes,agglo_paris,nenfants,nadultes,ocde10,situapr,situacj,poste_coicop_411,poste_coicop_412,poste_coicop_421,ln_quantite_carbu,ln_diesel_ttc,ln_super_95_ttc,ln_rev_disponible,loyer
724,2148.03460062,2148.03460062,0.0,0.984925,1.1261,58443.8554688,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,10247.609375,7.6723085638,-0.015189782841,0.118760335721,10.9758218368,10247.609375
725,2302.31425683,1453.30446005,849.009796785,0.984925,1.1261,80047.0625,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,1.0,0.0,0.0,15531.9248047,7.74167009466,-0.015189782841,0.118760335721,11.2903700219,15531.9248047
726,1053.13354824,0.0,1053.13354824,0.984925,1.1261,48647.7109375,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,10324.7382812,6.95952533053,-0.015189782841,0.118760335721,10.7923600349,10324.7382812
727,3531.54969039,2229.24239574,1302.30729465,0.984925,1.1261,50976.8359375,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.09999990463,1.0,1.0,0.0,0.0,9870.30761719,8.16949205937,-0.015189782841,0.118760335721,10.8391266112,9870.30761719
728,0.0,0.0,0.0,0.984925,1.1261,38300.0664062,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.90000009537,4.0,1.0,0.0,0.0,8390.28222656,0.0,-0.015189782841,0.118760335721,10.553206909,8390.28222656
729,0.0,0.0,0.0,0.984925,1.1261,17997.7402344,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,3627.10351562,0.0,0.0,0.0,-0.015189782841,0.118760335721,9.79800148646,3627.10351562
730,0.0,0.0,0.0,0.984925,1.1261,29710.7148438,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,7356.34960938,0.0,-0.015189782841,0.118760335721,10.2992630289,7356.34960938
731,1924.25137431,1924.25137431,0.0,0.984925,1.1261,41366.453125,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.29999995232,1.0,1.0,0.0,0.0,13245.1816406,7.56229227462,-0.015189782841,0.118760335721,10.6302255203,13245.1816406
732,2106.26709647,0.0,2106.26709647,0.984925,1.1261,43615.6054688,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.40000009537,1.0,6.0,0.0,0.0,19067.3085938,7.65267251109,-0.015189782841,0.118760335721,10.6831702889,19067.3085938
733,865.976679349,0.0,865.976679349,0.984925,1.1261,23349.6542969,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,5.0,5.0,0.0,0.0,7404.29394531,6.76385797904,-0.015189782841,0.118760335721,10.0583374577,7404.29394531
734,1069.02849248,1069.02849248,0.0,0.984925,1.1261,25882.4707031,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.29999995232,7.0,6.0,0.0,0.0,11043.9052734,6.97450556407,-0.015189782841,0.118760335721,10.1613212117,11043.9052734
735,2148.82667065,1356.41755461,792.409116042,0.984925,1.1261,42236.3671875,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.40000009537,1.0,4.0,0.0,0.0,14800.25,7.67267723757,-0.015189782841,0.118760335721,10.6510369106,14800.25
736,1781.71415414,1781.71415414,0.0,0.984925,1.1261,58848.6601562,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,11131.4560547,0.0,0.0,7.48533118783,-0.015189782841,0.118760335721,10.9827243453,11131.4560547
737,1203.58116839,0.0,1203.58116839,0.984925,1.1261,11290.2675781,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9455.48339844,0.0,2837.06201172,7.09305669856,-0.015189782841,0.118760335721,9.33169635732,12292.5454102
738,1911.77935473,1911.77935473,0.0,0.984925,1.1261,59408.6210938,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,6676.7890625,7.55578968671,-0.015189782841,0.118760335721,10.9921946311,6676.7890625
739,0.0,0.0,0.0,0.984925,1.1261,9729.47949219,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,4725.65722656,0.0,-0.015189782841,0.118760335721,9.1829156786,4725.65722656
740,1164.17196507,1164.17196507,0.0,0.984925,1.1261,7131.39306641,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5578.23535156,0.0,0.0,7.05976535369,-0.015189782841,0.118760335721,8.87226187531,5578.23535156
741,3767.11980153,2377.94286372,1389.17693781,0.984925,1.1261,47786.9609375,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.79999995232,1.0,1.0,0.0,0.0,13170.1376953,8.23406601009,-0.015189782841,0.118760335721,10.7745080975,13170.1376953
742,1710.80196067,1710.80196067,0.0,0.984925,1.1261,101050.46875,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.90000009537,1.0,6.0,0.0,0.0,15648.6591797,7.44471752241,-0.015189782841,0.118760335721,11.5233753616,15648.6591797
743,902.685928086,0.0,902.685928086,0.984925,1.1261,27795.3652344,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.5,5.0,5.0,3752.17602539,0.0,12250.8544922,6.80537468349,-0.015189782841,0.118760335721,10.2326245676,16003.0305176
