,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,agepr,depenses_par_uc,depenses_tot,dip14pr,elect_only,nactifs,nenfants,situacj,situapr,sourcp,typmen,vag,veh_diesel,veh_essence,prix_carbu_consommateur,year,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_23,vag_24,vag_25,vag_26,vag_27,vag_28
5795,15092,0.11225249829309168,0.03879337098876544,0.015765625969834274,0.8331885047483086,163.68,165.72522901,124.629035433,126.464472753,41.0,20138.749699909244,32222.0,31,0,1.0,2.0,0,1,4,2,23,1.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5796,15093,0.0,0.04539722572509458,0.0719935801903015,0.8826091940846039,163.68,105.795381684,123.223025478,142.021301468,52.0,8723.0,8723.0,42,1,0.0,0.0,0,7,0,1,23,0.0,0.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5797,15101,0.1719093574395309,0.049169313462008306,0.06349254825311508,0.7154287808453457,163.68,105.795381684,126.315247715,119.995956203,55.0,21829.333333333332,32744.0,70,1,2.0,0.0,1,1,0,3,23,3.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5798,15108,0.0,0.06395851339671564,0.1648516277729761,0.7711898588303082,163.68,105.795381684,124.813040895,128.449217723,86.0,17355.0,17355.0,71,1,0.0,0.0,0,5,0,1,23,0.0,1.0,,2011,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5799,15109,0.0,0.09604170954242985,0.1575770048706867,0.7463812855868834,163.68,105.77,122.615742273,123.833926471,48.0,9718.0,14577.0,42,1,1.0,1.0,0,1,2,2,23,2.0,0.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5800,15119,0.05055345572354212,0.074244060475162,0.30024973002159827,0.5749527537796977,163.68,106.779990116,124.359399798,119.923724834,58.0,19754.666666666668,29632.0,30,0,1.0,0.0,1,5,0,3,23,1.0,0.0,,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5801,15120,0.0,0.0321835286350883,0.036887275127908896,0.9309291962370028,163.68,113.393804075,123.86,128.773425228,52.0,12118.0,12118.0,71,0,1.0,0.0,0,1,99,1,23,1.0,1.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5802,15127,0.029259457074518727,0.04393562919443606,0.22676079232752014,0.7000441214035251,163.68,109.611693434,124.968373784,125.90380747,57.0,14354.333333333334,43063.0,50,0,3.0,3.0,1,1,0,4,23,1.0,1.0,,2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5803,15138,0.0,0.1402321083172147,0.1235009671179884,0.7362669245647969,163.68,105.795381684,128.172541112,131.137250099,42.0,20680.0,20680.0,20,1,0.0,0.0,0,7,2,1,23,0.0,1.0,,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5804,15141,0.05046681806712087,0.06156951804188746,0.18937673479687106,0.6985869290941206,182.882800746,111.911073399,127.311001555,125.499809765,63.0,23778.0,23778.0,20,0,0.0,0.0,0,5,1,1,23,1.0,1.0,1.38892226653,2011,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
