v1,ident_men,w1,w2,w3,w4,p1,p2,p3,p4,depenses_par_uc,depenses_tot,typmen,dip14pr,agepr,situapr,situacj,nenfants,nactifs,vag,veh_diesel,veh_essence,elect_only,indice_ess,indice_die,veh_tot,part_veh_essence,rural,villes_petites,villes_moyennes,villes_grandes,agglo_paris,proprietaire,accedant,locataire,sous_loc,loge_gratuit,vag_17,vag_18,vag_19,vag_20,vag_21,vag_22,mu_1,mu_2,mu_3,mu_4,ce_1_1,ce_1_2,ce_1_3,ce_1_4,ce_2_1,ce_2_2,ce_2_3,ce_2_4,ce_3_1,ce_3_2,ce_3_3,ce_3_4,ce_4_1,ce_4_2,ce_4_3,ce_4_4
4631,9181,.1241186,.0594337,.3192538,.4971938,153.7943,103.2414,114.2538,116.8816,12568.62,12568.62,1,41,49,4,0,0,1,19,0,1,0,1.069502,.9448178,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.8316542,.6428165,.8526931,1.17931,-.9134156,.0226019,-.184109,.2432685,.0523195,.3196407,.1471731,-1.16195,-.0723002,.0245192,-.4304606,-.3744515,.0185558,-.179134,-.3373399,-.681392
4632,9182,.0120825,.0839823,.2679703,.635965,153.7943,122.2828,114.9173,109.9185,9970.36,14955.54,3,71,70,5,5,0,0,19,0,2,0,1.069502,.9448178,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-.7293513,.7472234,.8245018,1.140184,-.1118039,.2639457,-1.871405,2.448614,.0368431,-.0614552,.1070587,-.82967,-.086264,.0324353,-.3194463,-.4512267,.0146084,-.1426209,-.2653416,-.7468295
4633,9183,.1016005,.0396877,.1404785,.7182333,147.8178,104.7692,114.3479,109.1678,21837.17,32755.76,3,50,54,1,1,0,2,19,1,2,0,1.069502,.9448178,3,.6666667,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,.7943429,.4651048,.6652278,1.124127,-.894505,.029025,-.2224812,.2936183,.077623,.9798867,.2267245,-1.749339,-.1647659,.0580241,.2983052,-.8567911,.013014,-.124858,-.2349904,-.7772922
4634,9184,,.0401459,.2211026,.7387515,135.8648,107.0336,114.3951,104.6238,17768.53,26652.79,3,70,56,1,1,0,2,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.4712099,.787301,1.120679,,,,,.0760027,.9599946,.2288748,-1.736082,-.1049802,.0379542,-.1732102,-.5470648,.0128201,-.1220077,-.229545,-.7819465
4635,9185,.1332561,.0359555,.1516967,.6790918,144.8296,96.2,116.3248,109.71,14091.5,25364.7,4,71,36,1,1,1,2,19,1,1,1,1.069502,.9448178,2,.5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.8431978,.4095823,.6899846,1.131281,-.9196795,.0210367,-.169273,.224718,.0852527,1.181283,.2516019,-1.92772,-.1528058,.0515717,.2029992,-.7917497,.0138591,-.1311393,-.2488335,-.7651675
4636,9186,,.0393382,.3011261,.6595357,135.8648,96.2,115.6121,108.9174,19353.53,29030.3,3,50,70,5,5,0,0,19,2,0,1,1.069502,.9448178,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.4603529,.8438252,1.135174,,,,,.0776227,.9939626,.2308835,-1.762822,-.0770647,.0260523,-.3937062,-.3991066,.014345,-.1350903,-.2564414,-.757987
4637,9187,.0500478,.1223283,.1941979,.633426,135.8648,142.3856,115.7033,112.3843,8312.056,20780.14,4,50,79,5,6,2,2,19,2,0,0,1.069502,.9448178,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,.582502,.8264609,.7578332,1.140746,-.7858865,.0677767,-.4510291,.5866369,.0251635,-.3539738,.0738165,-.571467,-.1192162,.0471091,-.0604733,-.6252527,.0147727,-.1445597,-.2666625,-.7442961
4638,9188,,.0938144,.1633284,.7428572,144.8296,160.0912,115.2647,113.677,8463.521,12695.28,3,71,71,5,6,0,0,19,0,0,0,1.069502,.9448178,0,.5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.7737154,.712063,1.120012,,,,,.0330583,-.1557641,.0954782,-.7464877,-.1414347,.0583752,.1161147,-.7451182,.0124658,-.1242491,-.2269696,-.7812592
4639,9189,.0394272,.0820767,.322731,.5557652,135.8648,96.2,113.3513,109.5321,13188.88,26377.76,4,50,47,4,6,1,1,19,1,0,1,1.069502,.9448178,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.4700391,.7413548,.8542802,1.160413,-.7285121,.0710319,-.5735033,.7609444,.0373566,-.0444749,.1095394,-.8437759,-.0718194,.0242221,-.4349248,-.3717581,.0169285,-.1602191,-.3036288,-.7134935
4640,9190,,.034688,.2197612,.7455508,135.8648,131.5552,115.2192,110.9823,28972.54,28972.54,1,60,53,1,0,0,1,19,1,0,0,1.069502,.9448178,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,.3880091,.7860028,1.119579,,,,,.0886049,1.275119,.2607812,-2.012514,-.1053958,.040541,-.1695992,-.5515487,.0125774,-.122211,-.2266495,-.7832955
