,elas_exp_1,elas_exp_2,elas_exp_3,elas_price_1_1,elas_price_1_2,elas_price_1_3,elas_price_2_1,elas_price_2_2,elas_price_2_3,elas_price_3_1,elas_price_3_2,elas_price_3_3,ident_men,year
2948,0.0,0.4427972,1.077529,0.0,0.0,0.0,0.1014229,-0.5950670838356018,0.0508469,-0.0275034,-0.0344386,-1.0155869722366333,4745,2017
2949,0.0,-0.0821292,1.071435,0.0,0.0,0.0,0.2698467,0.0,-0.25074,-0.026142,-0.0323654,-1.0129280090332031,15552,2017
2950,0.0,0.482327,1.082822,0.0,0.0,0.0,0.1289088,-0.5530571937561035,-0.0581786,-0.0283865,-0.0342114,-1.0202239751815796,13525,2017
2951,0.2487594,0.7633219,1.084538,-0.6304666996002197,0.1089792,0.2727281,0.0488444,-0.795982301235199,-0.0161841,-0.0308827,-0.0391337,-1.0145210027694702,12403,2017
2952,0.0,0.0994541,1.113554,0.0,0.0,0.0,0.1526346,-0.5859543085098267,0.3338656,-0.0301537,-0.0341682,-1.049232006072998,14448,2017
2953,0.0,0.5844414,1.094513,0.0,0.0,0.0,0.066481,-0.7475928068161011,0.0966704,-0.0290551,-0.0362206,-1.029237985610962,6875,2017
2954,-1.484997,0.4886163,1.074271,-0.036458998918533325,0.3050234,1.216433,0.1389695,-0.3242824077606201,-0.3033033,-0.0262985,-0.0349484,-1.0130250453948975,15734,2017
2955,0.0,0.4029656,1.058059,0.0,0.0,0.0,0.1732313,-0.20941370725631714,-0.3667831,-0.0254704,-0.0326667,-0.9999217987060547,13882,2017
2956,0.1081863,0.4994083,1.08882,-0.6420714855194092,0.1138813,0.4200038,0.0890043,-0.5622134804725647,-0.0261991,-0.027727,-0.0378035,-1.0232889652252197,4998,2017
2957,0.2888348,-0.2173621,1.082456,-0.735886812210083,0.0814648,0.3655872,0.3352067,0.0,-0.4393797,-0.028081,-0.0351439,-1.0192300081253052,12871,2017
2958,0.0,0.7222235,1.105802,0.0,0.0,0.0,0.0510177,-0.8186367154121399,0.0453956,-0.0310027,-0.0389983,-1.0358010530471802,7966,2017
2959,0.0,0.555744,1.081473,0.0,0.0,0.0,0.0950533,-0.6113256812095642,-0.0394716,-0.0273504,-0.0352434,-1.0188790559768677,14127,2017
2960,0.0,0.3106403,1.073878,0.0,0.0,0.0,0.1788816,-0.30827128887176514,-0.1812506,-0.026581,-0.0327436,-1.0145529508590698,8766,2017
2961,0.0,0.5274004,1.115494,0.0,0.0,0.0,0.0696224,-0.7308346033096313,0.1338118,-0.0294737,-0.0394966,-1.0465240478515625,10220,2017
2962,0.0,0.5890059,1.104745,0.0,0.0,0.0,0.0628995,-0.7608957290649414,0.1089902,-0.0293319,-0.0372344,-1.0381790399551392,7142,2017
2963,0.0,0.469948,1.112815,0.0,0.0,0.0,0.0794245,-0.7056592702865601,0.1562868,-0.0291701,-0.0380097,-1.0456349849700928,1400,2017
2964,0.0,0.4332686,1.079044,0.0,0.0,0.0,0.1320388,-0.37440699338912964,-0.1909005,-0.0256474,-0.0340584,-1.0193389654159546,2190,2017
2965,0.0,0.2343201,1.100482,0.0,0.0,0.0,0.1349195,-0.5446692109107971,0.1754296,-0.0282975,-0.0343419,-1.037842035293579,14572,2017
2966,-0.004264,0.8522782,1.087596,-0.6234691739082336,0.1323809,0.4953522,0.0356024,-0.8012186884880066,-0.0866618,-0.0295014,-0.0418303,-1.0162639617919922,14627,2017
2967,0.7344505,0.5660185,1.112681,-0.8986647725105286,0.0302814,0.133933,0.0838232,-0.6590561866760254,0.0092146,-0.034316,-0.043794,-1.0345710515975952,2678,2017
2968,0.0,-0.0567329,1.127233,0.0,0.0,0.0,0.1705992,-0.5872998237609863,0.4734335,-0.0321107,-0.0355158,-1.0596059560775757,11208,2017
2969,0.0,0.5197802,1.103084,0.0,0.0,0.0,0.0774219,-0.7355034947395325,0.1383014,-0.0296777,-0.0364638,-1.0369420051574707,5214,2017
2970,0.0,-0.0815853,1.09656,0.0,0.0,0.0,0.1726252,-0.2824532985687256,0.1914134,-0.0263886,-0.034293,-1.0358790159225464,2368,2017
2971,0.0,0.2890553,1.09758,0.0,0.0,0.0,0.1310714,-0.48907211422920227,0.0689454,-0.0268486,-0.0340963,-1.0366350412368774,13299,2017
2972,0.1858091,-1.587278,1.088702,-0.6637035012245178,0.106422,0.3714724,0.4746564,0.0,0.1902749,-0.0276093,-0.0356727,-1.0254199504852295,7658,2017
2973,-0.3587943,-1.069924,1.076774,-0.40813779830932617,0.1736224,0.5933098,0.4977894,0.0,-0.1936791,-0.0273086,-0.0326098,-1.0168559551239014,12242,2017
2974,0.0,0.1750246,1.090973,0.0,0.0,0.0,0.1373098,-0.4171760082244873,0.1048416,-0.0260697,-0.0336985,-1.0312050580978394,7507,2017
2975,0.0,0.7874004,1.154074,0.0,0.0,0.0,0.0443666,-0.9099553227424622,0.0781883,-0.0434335,-0.0437796,-1.0668610334396362,1703,2017
