"","X","aba","agepr","aise","ancons","depenses_combustibles_liquides","depenses_combustibles_solides","depenses_electricite","depenses_gaz_liquefie","depenses_gaz_ville","depenses_tot","dip14pr","htl","ident_men","identifiant_menage","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_04_5_0_0","poste_04_5_5_1","poste_04_5_5_2","revtot","stalog","surfhab_d","zeat","fioul","gaz_ville","electricite","strate","rural","petite_ville","moyenne_ville","grande_ville","paris","bat_av_49","bat_49_74","bat_ap_74","log_indiv","log_colec","ouest_sud","est_nord","aides_logement","depenses_energies","part_energies_depenses_tot","part_energies_revtot","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_2","donation_class_3","donation_class_4","froid_cout","froid_impaye","froid_installation","froid_isolation","froid","gchauf_2","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_5","isolation_fenetres","isolation_murs","isolation_toit","majorite_double_vitrage"
"1217",1221,NA,53,3,99,0,0,290.911879257683,0,930.09243835623,22032.32378614,71,2,11553,201701221,1,4,2,3,2,863.15237618,0,0,0,21383,3,77,9,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1221.00431761391,0.0554187715043484,0.0571016376380261,10691.5,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"1238",1242,2,75,3,1,0,0,729.924351592004,0,0,7347.8,71,1,11579,201701242,0,3,0,1,1,3206.6939563,0,0,0,9280,5,60,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,729.924351592004,0.0993391697640115,0.0786556413353452,9280,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1300",1305,2,52,4,1,0,0,2132.64854030359,168.088994883656,0,13154.0308753,50,1,11660,201701305,2,5,1,3,2,2185.5392924,0,0,0,15040,1,100,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2300.73753518725,0.174907414844788,0.152974570158727,7520,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1420",1425,2,84,3,1,0,0,0,84.044497441828,0,16463.0111913,71,1,11822,201701425,0,4,0,1,1,2151.3064632,0,0,0,10376,1,92,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,84.044497441828,0.00510505013118389,0.00809989373957479,10376,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1631",1637,2,53,9,1,0,0,476.037620603481,56.0296649612186,0,13257.96,31,1,12080,201701637,1,3,0,1,1,1534.0865794,0,0,0,5820,1,60,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,532.067285564699,0.0401319121165473,0.0914204958014947,5820,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,1,1,1,1,2,2,2,2,1,2,2,2,1,3,4,2
"1647",1653,2,68,3,5,0,0,789.164588822659,84.044497441828,0,16024.64,50,2,12100,201701653,1,1,0,1,1,3000.1751935,0,0,0,8955,1,50,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,873.209086264487,0.0544916507493764,0.0975107857358445,8955,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
"1660",1666,2,84,4,1,0,0,380.830096482785,1460.97351386378,0,9471.247127683,50,1,1212,201701666,0,4,0,1,1,2326.64263,0,0,0,9620,1,84,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1841.80361034656,0.194462628365303,0.191455676751202,9620,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2
"1669",1675,NA,54,4,1,1695.01912400194,0,1586.79206867827,168.088994883656,0,41151.78,50,5,12131,201701675,2,6,0,2,1.5,2090.474547,0,0,0,12470,3,113,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3449.90018756387,0.0838335592667891,0.27665598937962,8313.33333333333,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1706",1712,2,60,3,2,0,1855.77545990354,288.67974787243,0,525.432248686504,23199.22,71,1,12175,201701712,0,3,0,2,1.5,2526.1056244,0,0,0,14790,1,70,4,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2669.88745646247,0.115085225126641,0.180519773932554,9860,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"1737",1744,2,43,3,10,0,311.770277263795,687.60989642725,0,0,54085.88,31,1,12217,201701744,2,6,3,5,2.8,2032.6830649,0,0,0,27387,2,75,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,999.380173691045,0.0184776539401974,0.0364910422350402,9781.07142857143,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1756",1763,NA,53,5,1,81.3609179520932,0,2835.06849603851,0,0,6594.52,71,1,12237,201701763,1,3,0,1,1,3050.7592511,0,0,0,8700,3,60,9,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2916.4294139906,0.442250446429854,0.335221771723058,8700,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"1779",1786,NA,22,4,9,0,0,634.716827471308,168.088994883656,0,8339.69665845,71,1,12268,201701786,2,3,4,6,2.7,1997.0539386,0,0,0,25590,3,70,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,802.805822354964,0.0962631922039442,0.0313718570674077,9477.77777777778,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2
"1854",1861,NA,52,5,99,0,0,1433.40216870604,182.096411123961,0,4396,50,1,12364,201701861,2,3,2,3,2,168.46211417,0,0,0,14696,3,70,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1615.49857983,0.367492852554594,0.109927774893168,7348,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1915",1922,NA,26,2,99,0,0,444.301779229915,0,1092.57846674376,32976.88,60,1,12439,201701922,1,4,2,4,2.1,3122.8598509,0,0,0,22966,3,85,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1536.88024597368,0.0466047802573706,0.0669198051891352,10936.1904761905,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2
"2032",2039,NA,46,4,3,0,0,1470.4273169752,0,0,20024.090875302,31,8,12596,201702039,1,5,2,3,1.8,229.30862144,0,0,0,17341,3,85,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1470.4273169752,0.073432912691624,0.0847948398001959,9633.88888888889,1,1,"1_0","1_0_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"2035",2042,NA,63,4,9,0,742.310183961416,740.502965383192,126.066746162742,0,30096.92,50,1,1260,201702042,0,5,1,3,2,2085.5407781,0,0,0,20279,3,110,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1608.87989550735,0.0534566292998536,0.0793372402735515,10139.5,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
"2084",2092,NA,33,3,2,1808.0203989354,0,370.251482691596,89.6474639379498,0,32634.48,71,1,12658,201702092,2,4,2,4,2.1,3647.8041712,0,0,0,17394,3,90,5,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2267.91934556495,0.069494575846312,0.130385152671321,8282.85714285714,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2
"2222",2230,NA,93,3,9,0,668.079165565275,1904.15048241392,151.28009539529,0,12027,71,3,1283,201702230,0,3,0,2,1.5,3542.898375,0,0,0,15110,5,80,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2723.50974337449,0.226449633605595,0.180245515775942,10073.3333333333,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,1,2,2,1,1,2,2,2,2,2,1,2,1
