,aba,agepr,aise,amr,ancons,cataeu,chaufp,cs42cj,cs42pr,decuc,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14cj,dip14pr,htl,ident_men,identifiant_menage,mchof,mchof_d,mfac_eau1_d,mloy_d,nactifs,nbh1,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_1_1_1_a,poste_04_5_1_1_1_b,poste_04_5_2_1_1,poste_04_5_5_1_1,revtot,situacj,situapr,stalog,surfhab_d,tau,tuu,typmen,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
6827,2.0,33,2.0,0.0,2.0,111.0,2.0,56.0,62,5,0.0,0.0,760.9207858272497,0.0,1713.9113320669135,26447.48417758,42.0,50.0,1.0,3382,201706827,,,432.0,,2,0.0,5.0,1,3,1.8,2358.6161596,0.0,707.0,996.0,0,39021.0,1.0,1,2,120.0,8.0,6,4,5,0,1,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,2474.8321178941633,0.09357533220464584,0.06342308290136499,21678.333333333332,6,3,6,6_1,6_2,6_0_1
6828,2.0,32,1.0,0.0,9.0,120.0,2.0,38.0,31,10,3235.180745950819,0.0,2250.4743467677213,0.0,0.0,78259.86,12.0,30.0,1.0,3383,201706828,,,434.0,,2,0.0,7.0,2,4,2.1,3056.8416893,0.0,2091.0,0.0,0,83846.0,1.0,1,1,230.0,0.0,0,4,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,5485.65509271854,0.07009538597077147,0.06542536427162345,39926.666666666664,9,5,9,9_1,9_0,9_0_0
6829,,35,5.0,408.0,9.0,211.0,4.0,,67,2,0.0,0.0,1429.2826076076203,227.14487533416923,0.0,14679.14,,42.0,2.0,3384,201706829,,,,313.0,1,0.0,3.0,2,3,1.6,524.31559146,0.0,1328.0,0.0,0,19556.0,,1,3,74.0,4.0,4,2,7,0,0,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1656.4274829417895,0.11284227025164892,0.08470175306513548,12222.5,2,1,2_0,2_0_0,2_2_0,2_0_0_0
6830,2.0,84,2.0,0.0,2.0,111.0,1.0,,77,5,0.0,0.0,193.72806428416538,51.62383530322028,0.0,16201.4,,50.0,8.0,3385,201706830,,,,,0,1.0,2.0,0,1,1.0,7171.7805459,0.0,180.0,0.0,0,19490.0,,5,1,49.0,9.0,7,1,8,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0,245.35189958738567,0.015143870257347246,0.012588604391348675,19490.0,5,3,5,5_0,5_3,5_0_1
6831,,28,2.0,355.0,1.0,111.0,2.0,,56,3,0.0,0.0,774.9122571366615,0.0,1238.9720472772867,21608.110875302,,43.0,2.0,3386,201706831,,,,495.0,1,0.0,3.0,2,3,1.6,1435.0447461,0.0,720.0,720.0,0,22623.0,,1,3,50.0,10.0,8,2,1,0,1,1,4,0,0,0,0,1,1,0,0,0,1,0,1,0,2013.8843044139483,0.09320038739322702,0.08901933008062363,14139.375,3,2,3_0,3_0_0,3_4_0,3_1_0_0
6832,2.0,60,4.0,0.0,7.0,120.0,5.0,,78,3,134.7991977479508,216.97705539539805,861.0136190407351,137.66356080858742,0.0,11940.4,,50.0,1.0,3389,201706832,,,100.0,,0,2.0,5.0,0,1,1.0,2827.4182362,0.0,800.0,0.0,0,14280.0,,4,1,120.0,0.0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1350.4534329926712,0.11309951366727004,0.09456956813674168,14280.0,3,2,3_0,3_1_0,3_0_0,3_0_0_0
6833,2.0,84,2.0,0.0,3.0,112.0,6.0,,78,7,0.0,0.0,208.79580261737826,0.0,0.0,16773.945846750004,,50.0,1.0,3390,201706833,,,232.0,,0,1.0,5.0,0,1,1.0,2895.1711587,0.0,194.0,0.0,0,25762.0,,5,1,110.0,6.0,2,1,8,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,208.79580261737826,0.012447625891068022,0.008104797865747157,25762.0,7,4,7,7_1,7_1,7_0_1
6834,2.0,76,3.0,0.0,2.0,111.0,2.0,54.0,74,8,0.0,0.0,151.36399321465885,0.0,343.06111263434155,25189.5417506,71.0,41.0,1.0,3391,201706834,,,250.0,,1,2.0,4.0,0,2,1.5,1708.1015382,340.0,0.0,0.0,0,44820.0,5.0,5,1,100.0,10.0,8,3,1,0,1,1,4,0,0,0,0,1,0,1,0,1,0,0,1,0,494.4251058490004,0.01962818977591061,0.011031349974319508,29880.0,8,4,8,8_1,8_4,8_0_1
6835,2.0,56,3.0,0.0,1.0,112.0,5.0,85.0,63,2,0.0,0.0,473.5574904724043,129.0595882580507,0.0,14044.44,60.0,50.0,1.0,3394,201706835,,,210.0,,1,1.0,4.0,0,2,1.5,2488.199562,0.0,440.0,0.0,0,17366.0,6.0,1,1,80.0,9.0,1,3,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,602.617078730455,0.042907875196907454,0.03470097194117557,11577.333333333334,2,1,2_0,2_1_0,2_1_0,2_1_0_0
6836,,44,4.0,0.0,4.0,120.0,2.0,,85,1,0.0,0.0,302.4310336880582,0.0,1238.9720472772867,12735.999999999998,,71.0,2.0,3395,201706836,,,380.0,292.0,0,0.0,3.0,1,2,1.3,2365.2798434,0.0,281.0,720.0,0,8870.0,,7,4,77.0,0.0,3,2,9,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1541.403080965345,0.12102725196021868,0.17377712299496562,6823.076923076923,1,1,1_0,1_0_0,1_1_0,1_0_1_0
