,identifiant_menage,depenses_gaz_prix_unitaire,depenses_electricite_prix_unitaire
831,201703106,0.0,0.1449
832,201703107,0.0476,0.1449
833,201703108,0.0,0.1449
834,201703109,0.0,0.1449
835,201703110,0.0476,0.1449
836,201703111,0.0476,0.1449
837,201703112,0.0,0.1449
838,201703113,0.0,0.1449
839,201703116,0.0,0.1449
840,201703117,0.0,0.1449
841,201703118,0.0,0.1449
842,201703119,0.0476,0.1449
843,201703120,0.0,0.1449
844,201703121,0.0476,0.1449
845,201703123,0.0,0.1449
846,201703124,0.0,0.1449
847,201703125,0.0476,0.1449
848,201703126,0.0,0.1564
849,201703127,0.0476,0.1449
850,201703129,0.0,0.1449
851,201703130,0.0,0.1449
852,201703131,0.0,0.1449
853,201703132,0.0476,0.1449
854,201703133,0.0,0.1449
855,201703134,0.0476,0.1449
856,201703135,0.0476,0.1449
857,201703136,0.0,0.1449
858,201703137,0.0,0.1449
859,201703139,0.0476,0.1449
860,201703140,0.0,0.1449
861,201703141,0.0,0.1449
862,201703142,0.0,0.1449
863,201703143,0.0476,0.1449
864,201703145,0.0,0.1449
865,201703146,0.0,0.1449
866,201703147,0.0476,0.1449
867,201703148,0.0,0.1449
868,201703149,0.0,0.1449
869,201703150,0.0476,0.1449
870,201703151,0.0476,0.1449
871,201703152,0.0,0.1449
872,201703153,0.0,0.1449
873,201703155,0.0,0.1449
874,201703156,0.0,0.1449
875,201703157,0.0,0.1449
876,201703158,0.0,0.1449
877,201703159,0.0,0.1449
878,201703160,0.0,0.1449
879,201703161,0.0,0.1449
880,201703162,0.0708,0.1449
881,201703163,0.0,0.1449
882,201703164,0.0,0.1449
883,201703165,0.0,0.1449
884,201703166,0.0476,0.1449
885,201703167,0.0476,0.1449
886,201703168,0.0476,0.1449
887,201703169,0.0476,0.1449
888,201703171,0.0476,0.1449
889,201703172,0.0,0.1449
890,201703173,0.0476,0.1449
891,201703174,0.0476,0.1449
892,201703175,0.0476,0.1449
893,201703176,0.0476,0.1449
894,201703177,0.0,0.1449
895,201703178,0.0,0.1449
896,201703180,0.0708,0.1449
