,label_division,label_groupe,label_classe,label_sous_classe,label_poste,code_coicop
78,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Restauration,Repas en libre service et restauration rapide,11.1.1.1.2
79,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Consommation dans les cafés,Cafés et autres boiss. chaudes cons. dans les cafés,11.1.1.2.1
80,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Consommation dans les cafés,Vin consommé dans les cafés,11.1.1.2.2
81,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Consommation dans les cafés,Bière et cidre consommés dans les cafés,11.1.1.2.3
82,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Consommation dans les cafés,Spiritueux consommés dans les cafés,11.1.1.2.4
83,"Hôtellerie, cafés, restauration",Restauration et cafés,Restauration et cafés,Consommation dans les cafés,Boissons non alcoolisées cons. dans les cafés,11.1.1.2.5
84,"Hôtellerie, cafés, restauration",Restauration et cafés,Cantines,Repas dans un restaurant scolaire ou universitaire,Repas dans un restaurant scolaire ou universitaire,11.1.2.1.1
85,"Hôtellerie, cafés, restauration",Restauration et cafés,Cantines,Repas dans un restaurant d'entreprise ou d'administration,Repas dans un restaurant d'entreprise ou d'admin.,11.1.2.2.1
86,"Hôtellerie, cafés, restauration",Services d'hébergement,Services d'hébergement,Hôtellerie y.c. pension,Locations de chambres d'hôtel,11.2.1.1.1
87,"Hôtellerie, cafés, restauration",Services d'hébergement,Services d'hébergement,Hôtellerie y.c. pension,Pensions et demi-pensions dans les hôtels,11.2.1.1.2
88,"Hôtellerie, cafés, restauration",Services d'hébergement,Services d'hébergement,Internat scolaire et universitaire,"Frais d'internat scol., résidences univers., foyers",11.2.1.2.1
89,"Hôtellerie, cafés, restauration",Services d'hébergement,Services d'hébergement,Hébergements de vacances,Hébergements de vacances ou de loisirs,11.2.1.3.1
90,"Hôtellerie, cafés, restauration",Services d'hébergement,Services d'hébergement,Hébergements de vacances,Terrains de camping et auberges de jeunesse,11.2.1.3.2
91,Autres biens et services,Soins personnels,Salons de coiffure et esthétique corporelle,Coiffure,Coiffeurs pour hommes,12.1.1.1.1
92,Autres biens et services,Soins personnels,Salons de coiffure et esthétique corporelle,Coiffure,Coiffeurs pour femmes,12.1.1.1.2
93,Autres biens et services,Soins personnels,Salons de coiffure et esthétique corporelle,Autres services d'esthétique,Autres services d'esthétique corporelle,12.1.1.2.1
94,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Parfumerie et produits de beauté,Parfums et eaux de toilette,12.1.3.1.1
95,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Parfumerie et produits de beauté,Produits de maquillage et de soin de la peau,12.1.3.1.2
96,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Produits de l'hygiène corporelle,"Savons, dentifrices et produits de toilette",12.1.3.2.1
97,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Produits de l'hygiène corporelle,Shampooings et produits capillaires divers,12.1.3.2.2
98,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Appareils et autres articles de toilette,Autres articles de toilette,12.1.3.3.1
99,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Appareils et autres articles de toilette,Articles d'hygiène à base de papier,12.1.3.3.2
100,Autres biens et services,Soins personnels,"Appareils, autres articles et produits pour soins personnels",Appareils et autres articles de toilette,Appareils de toilette électriques,12.1.3.3.3
101,Autres biens et services,Effets personnels n.d.a.,"Horlogerie, bijouterie, joaillerie","Horlogerie, bijouterie, joaillerie",Horlogerie,12.3.1.1.1
102,Autres biens et services,Effets personnels n.d.a.,"Horlogerie, bijouterie, joaillerie","Horlogerie, bijouterie, joaillerie","Bijouterie, joaillerie",12.3.1.1.2
103,Autres biens et services,Effets personnels n.d.a.,Autres effets personnels,Maroquinerie et articles de voyages,Maroquinerie et articles de voyage,12.3.2.1.1
104,Autres biens et services,Effets personnels n.d.a.,Autres effets personnels,Autres effets personnels y.c. réparation,Articles de puériculture,12.3.2.2.1
105,Autres biens et services,Effets personnels n.d.a.,Autres effets personnels,Autres effets personnels y.c. réparation,"Articles pour fumeurs, articles divers",12.3.2.2.2
106,Autres biens et services,Effets personnels n.d.a.,Autres effets personnels,Autres effets personnels y.c. réparation,Réparation horlogerie ou bijoux,12.3.2.2.3
107,Autres biens et services,Protection sociale,Services de protection sociale,"Crèches, assistantes maternelles","Crèches, assistantes maternelles",12.4.1.1.1
108,Autres biens et services,Protection sociale,Services de protection sociale,Maisons de retraite et autres services pour personnes âgées,Maisons de retraite et autres services pour personnes âgées,12.4.1.2.1
109,Autres biens et services,Protection sociale,Services de protection sociale,Établissements pour adultes handicapés,Établissements pour adultes handicapés,12.4.1.3.1
110,Autres biens et services,Assurances,Assurance habitation,Assurance habitation,Assurance habitation,12.5.2.1.1
111,Autres biens et services,Assurances,Assurance santé,Assurance santé complémentaire,Assurance santé complémentaire,12.5.3.1.1
112,Autres biens et services,Assurances,Assurance automobile,Assurance automobile,Assurance automobile,12.5.4.1.1
113,Autres biens et services,Services financiers,Services financiers n.d.a.,Services financiers,Services financiers,12.6.1.1.1
114,Autres biens et services,Autres services,Autres services,Services funéraires,Services funéraires,12.7.1.1.1
115,Autres biens et services,Autres services,Autres services,Prestations administratives et privées diverses,Formalités administratives,12.7.1.2.1
116,Autres biens et services,Autres services,Autres services,Prestations administratives et privées diverses,Services juridiques,12.7.1.2.2
117,Autres biens et services,Autres services,Autres services,Prestations administratives et privées diverses,Autres services aux ménages,12.7.1.2.3
118,Boissons alcoolisées et tabac,Boissons alcoolisées,Alcools,Apéritifs,Apéritifs anisés à base d'alcool,2.1.1.1.1
119,Boissons alcoolisées et tabac,Boissons alcoolisées,Alcools,Apéritifs,Whisky,2.1.1.1.2
120,Boissons alcoolisées et tabac,Boissons alcoolisées,Alcools,Eaux de vie et liqueurs,Eaux de vie,2.1.1.2.1
121,Boissons alcoolisées et tabac,Boissons alcoolisées,Alcools,Eaux de vie et liqueurs,Liqueurs,2.1.1.2.2
122,Boissons alcoolisées et tabac,Boissons alcoolisées,"Vins, cidres et champagne",Vins,Vins de consommation courante,2.1.2.1.1
123,Boissons alcoolisées et tabac,Boissons alcoolisées,"Vins, cidres et champagne",Vins,Vins supérieurs,2.1.2.1.2
124,Boissons alcoolisées et tabac,Boissons alcoolisées,"Vins, cidres et champagne",Vins,Vins doux naturels et apéritifs à base de vin,2.1.2.1.3
125,Boissons alcoolisées et tabac,Boissons alcoolisées,"Vins, cidres et champagne","Champagne, mousseux et cidres",Champagne et mousseux,2.1.2.2.1
126,Boissons alcoolisées et tabac,Boissons alcoolisées,"Vins, cidres et champagne","Champagne, mousseux et cidres",Cidres,2.1.2.2.2
127,Boissons alcoolisées et tabac,Boissons alcoolisées,Bières,Bières,Bières,2.1.3.1.1
128,Boissons alcoolisées et tabac,Tabac,Tabac,Tabac,Tabac,2.2.1.1.1
129,Habillement et chaussures,Habillement,Tissus d'habillement,Tissus d'habillement,Tissus d'habillement,3.1.1.1.1
130,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour hommes,"Manteaux, imper. et vêtements en peau pour hommes",3.1.2.1.1
131,Habillement et chaussures,Habillement,Vêtements,Vêtements de dessus pour hommes,Costumes pour hommes,3.1.2.1.2
