posteCOICOP;annee;description;categoriefiscale;supplementaire
02202;1997;Cigares et cigarillos;8;1
02202;1998;Cigares et cigarillos;8;1
02202;1999;Cigares et cigarillos;8;1
02202;2000;Cigares et cigarillos;8;1
02202;2001;Cigares et cigarillos;8;1
02202;2002;Cigares et cigarillos;8;1
02202;2003;Cigares et cigarillos;8;1
02202;2004;Cigares et cigarillos;8;1
02202;2005;Cigares et cigarillos;8;1
02202;2006;Cigares et cigarillos;8;1
02202;2007;Cigares et cigarillos;8;1
02202;2008;Cigares et cigarillos;8;1
02202;2009;Cigares et cigarillos;8;1
02202;2010;Cigares et cigarillos;8;1
02202;2011;Cigares et cigarillos;8;1
02202;2012;Cigares et cigarillos;8;1
02202;2013;Cigares et cigarillos;8;1
02202;2014;Cigares et cigarillos;8;1
02203;1994;Tabac sous d'autres formes;9;1
02203;1995;Tabac sous d'autres formes;9;1
02203;1996;Tabac sous d'autres formes;9;1
02203;1997;Tabac sous d'autres formes;9;1
02203;1998;Tabac sous d'autres formes;9;1
02203;1999;Tabac sous d'autres formes;9;1
02203;2000;Tabac sous d'autres formes;9;1
02203;2001;Tabac sous d'autres formes;9;1
02203;2002;Tabac sous d'autres formes;9;1
02203;2003;Tabac sous d'autres formes;9;1
02203;2004;Tabac sous d'autres formes;9;1
02203;2005;Tabac sous d'autres formes;9;1
02203;2006;Tabac sous d'autres formes;9;1
02203;2007;Tabac sous d'autres formes;9;1
02203;2008;Tabac sous d'autres formes;9;1
02203;2009;Tabac sous d'autres formes;9;1
02203;2010;Tabac sous d'autres formes;9;1
02203;2011;Tabac sous d'autres formes;9;1
02203;2012;Tabac sous d'autres formes;9;1
02203;2013;Tabac sous d'autres formes;9;1
02203;2014;Tabac sous d'autres formes;9;1
0230;1994;Stupéfiants;0;0
0230;1995;Stupéfiants;0;0
0230;1996;Stupéfiants;0;0
0230;1997;Stupéfiants;0;0
0230;1998;Stupéfiants;0;0
0230;1999;Stupéfiants;0;0
0230;2000;Stupéfiants;0;0
0230;2001;Stupéfiants;0;0
0230;2002;Stupéfiants;0;0
0230;2003;Stupéfiants;0;0
0230;2004;Stupéfiants;0;0
0230;2005;Stupéfiants;0;0
0230;2006;Stupéfiants;0;0
0230;2007;Stupéfiants;0;0
0230;2008;Stupéfiants;0;0
0230;2009;Stupéfiants;0;0
0230;2010;Stupéfiants;0;0
0230;2011;Stupéfiants;0;0
0230;2012;Stupéfiants;0;0
0230;2013;Stupéfiants;0;0
0230;2014;Stupéfiants;0;0
0311;1994;Tissus pour habillement;3;0
0311;1995;Tissus pour habillement;3;0
0311;1996;Tissus pour habillement;3;0
0311;1997;Tissus pour habillement;3;0
0311;1998;Tissus pour habillement;3;0
0311;1999;Tissus pour habillement;3;0
0311;2000;Tissus pour habillement;3;0
0311;2001;Tissus pour habillement;3;0
0311;2002;Tissus pour habillement;3;0
0311;2003;Tissus pour habillement;3;0
0311;2004;Tissus pour habillement;3;0
0311;2005;Tissus pour habillement;3;0
0311;2006;Tissus pour habillement;3;0
0311;2007;Tissus pour habillement;3;0
0311;2008;Tissus pour habillement;3;0
0311;2009;Tissus pour habillement;3;0
0311;2010;Tissus pour habillement;3;0
0311;2011;Tissus pour habillement;3;0
0311;2012;Tissus pour habillement;3;0
0311;2013;Tissus pour habillement;3;0
0311;2014;Tissus pour habillement;3;0
0312;1994;Vêtements;3;0
0312;1995;Vêtements;3;0
0312;1996;Vêtements;3;0
0312;1997;Vêtements;3;0
0312;1998;Vêtements;3;0
0312;1999;Vêtements;3;0
0312;2000;Vêtements;3;0
0312;2001;Vêtements;3;0
0312;2002;Vêtements;3;0
0312;2003;Vêtements;3;0
0312;2004;Vêtements;3;0
0312;2005;Vêtements;3;0
0312;2006;Vêtements;3;0
0312;2007;Vêtements;3;0
0312;2008;Vêtements;3;0
0312;2009;Vêtements;3;0
0312;2010;Vêtements;3;0
0312;2011;Vêtements;3;0
0312;2012;Vêtements;3;0
0312;2013;Vêtements;3;0
0312;2014;Vêtements;3;0
0313;1994;Autres articles et accessoires d'habillement;3;0
